1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-16 20:29:44.550;310;2024-07-16 20:29:44.550;905;2024-07-16 20:29:44.550;0;2024-07-16 20:29:44.550;24.7;2024-07-16 20:29:44.550;0.657;2024-07-16 20:29:44.550;0.0
2024-07-16 20:30:11.910;515;2024-07-16 20:30:11.910;1479;2024-07-16 20:30:11.910;0;2024-07-16 20:30:11.910;24.6;2024-07-16 20:30:11.910;0.652;2024-07-16 20:30:11.910;0.0
2024-07-16 20:31:28.750;0;2024-07-16 20:31:28.750;0;2024-07-16 20:31:28.750;0;2024-07-16 20:31:28.750;24.5;2024-07-16 20:33:02.550;0.628;2024-07-16 20:33:02.550;0.0
2024-07-16 20:33:02.550;633;2024-07-16 20:33:02.550;1703;2024-07-16 20:33:02.550;0;2024-07-16 20:33:02.550;24.5;2024-07-16 20:33:25.190;0.648;2024-07-16 20:33:25.190;0.0
2024-07-16 20:33:25.190;418;2024-07-16 20:33:25.190;1188;2024-07-16 20:33:25.190;0;2024-07-16 20:33:25.190;24.5;2024-07-16 20:33:55.080;0.642;2024-07-16 20:33:55.080;0.0
2024-07-16 20:33:55.080;401;2024-07-16 20:33:55.080;1121;2024-07-16 20:33:55.080;0;2024-07-16 20:33:55.080;24.5;2024-07-16 20:34:19.260;0.655;2024-07-16 20:34:19.260;0.0
2024-07-16 20:34:19.260;149;2024-07-16 20:34:19.260;432;2024-07-16 20:34:19.260;0;2024-07-16 20:34:19.260;24.4;2024-07-16 20:34:40.050;0.612;2024-07-16 20:34:40.050;0.0
2024-07-16 20:34:40.050;386;2024-07-16 20:34:40.050;994;2024-07-16 20:34:40.050;0;2024-07-16 20:34:40.050;24.4;2024-07-16 20:35:11.150;0.634;2024-07-16 20:35:11.150;0.0
2024-07-16 20:35:11.150;853;2024-07-16 20:35:11.150;2330;2024-07-16 20:35:11.150;0;2024-07-16 20:35:11.150;24.4;2024-07-16 20:35:31.560;0.642;2024-07-16 20:35:31.560;0.0
2024-07-16 20:35:31.560;676;2024-07-16 20:35:31.560;1886;2024-07-16 20:35:31.560;0;2024-07-16 20:35:31.560;24.4;2024-07-16 20:35:48.440;0.667;2024-07-16 20:35:48.440;0.0
2024-07-16 20:35:48.440;254;2024-07-16 20:35:48.440;762;2024-07-16 20:35:48.440;0;2024-07-16 20:35:48.440;24.4;2024-07-16 20:36:08.050;0.758;2024-07-16 20:36:08.050;0.0
2024-07-16 20:36:08.050;395;2024-07-16 20:36:08.050;1635;2024-07-16 20:36:08.050;0;2024-07-16 20:36:08.050;24.4;2024-07-16 20:36:33.730;0.664;2024-07-16 20:36:33.730;0.0
2024-07-16 20:36:33.730;687;2024-07-16 20:36:33.730;2043;2024-07-16 20:36:33.730;0;2024-07-16 20:36:33.730;24.3;2024-07-16 20:38:21.320;0.672;2024-07-16 20:38:21.320;0.0
2024-07-16 20:38:21.320;226;2024-07-16 20:38:21.320;688;2024-07-16 20:38:21.320;0;2024-07-16 20:38:21.320;24.3;2024-07-16 20:38:40.390;0.679;2024-07-16 20:38:40.390;0.0
2024-07-16 20:38:40.390;475;2024-07-16 20:38:40.390;1480;2024-07-16 20:38:40.390;0;2024-07-16 20:38:40.390;24.3;2024-07-16 20:38:59.110;0.671;2024-07-16 20:38:59.110;0.0
2024-07-16 20:38:59.110;369;2024-07-16 20:38:59.110;1123;2024-07-16 20:38:59.110;0;2024-07-16 20:38:59.110;24.3;2024-07-16 20:39:15.700;0.680;2024-07-16 20:39:15.700;0.0
2024-07-16 20:39:15.700;267;2024-07-16 20:39:15.700;834;2024-07-16 20:39:15.700;0;2024-07-16 20:39:15.700;24.3;2024-07-16 20:39:31.590;0.635;2024-07-16 20:39:31.590;0.0
2024-07-16 20:39:31.590;882;2024-07-16 20:39:31.590;2417;2024-07-16 20:39:31.590;0;2024-07-16 20:39:31.590;24.3;2024-07-16 20:41:17.880;0.621;2024-07-16 20:41:17.880;0.0
2024-07-16 20:40:37.980;0;2024-07-16 20:40:37.980;0;2024-07-16 20:40:37.980;0;2024-07-16 20:40:37.980;24.3;2024-07-16 20:41:41.160;0.634;2024-07-16 20:41:41.160;0.0
2024-07-16 20:41:17.880;1111;2024-07-16 20:41:17.880;2932;2024-07-16 20:41:17.880;0;2024-07-16 20:41:17.880;24.2;2024-07-16 20:42:00.730;0.653;2024-07-16 20:42:00.730;0.0
2024-07-16 20:41:41.160;724;2024-07-16 20:41:41.160;1976;2024-07-16 20:41:41.160;0;2024-07-16 20:41:41.160;24.3;2024-07-16 20:42:19.700;0.639;2024-07-16 20:42:19.700;0.0
2024-07-16 20:42:00.730;475;2024-07-16 20:42:00.730;1370;2024-07-16 20:42:00.730;0;2024-07-16 20:42:00.730;24.2;2024-07-16 20:42:44.420;0.649;2024-07-16 20:42:44.420;0.0
2024-07-16 20:42:19.700;753;2024-07-16 20:42:19.700;2087;2024-07-16 20:42:19.700;0;2024-07-16 20:42:19.700;24.2;2024-07-16 20:43:30.700;0.659;2024-07-16 20:43:30.700;0.0
2024-07-16 20:42:44.420;449;2024-07-16 20:42:44.420;1278;2024-07-16 20:42:44.420;0;2024-07-16 20:42:44.420;24.2;2024-07-16 20:43:52.100;0.621;2024-07-16 20:43:52.100;0.0
2024-07-16 20:43:30.700;397;2024-07-16 20:43:30.700;1164;2024-07-16 20:43:30.700;0;2024-07-16 20:43:30.700;24.2;2024-07-16 20:44:14.090;0.681;2024-07-16 20:44:14.090;0.0
2024-07-16 20:43:52.100;947;2024-07-16 20:43:52.100;2500;2024-07-16 20:43:52.100;0;2024-07-16 20:43:52.100;24.2;2024-07-16 20:44:46.970;0.611;2024-07-16 20:44:46.970;0.0
2024-07-16 20:44:14.090;155;2024-07-16 20:44:14.090;486;2024-07-16 20:44:14.090;0;2024-07-16 20:44:14.090;24.2;2024-07-16 20:45:07.050;0.678;2024-07-16 20:45:07.050;0.0
2024-07-16 20:44:46.970;584;2024-07-16 20:44:46.970;1501;2024-07-16 20:44:46.970;0;2024-07-16 20:44:46.970;24.2;2024-07-16 20:45:56.180;0.616;2024-07-16 20:45:56.180;0.0
2024-07-16 20:45:07.050;558;2024-07-16 20:45:07.050;1732;2024-07-16 20:45:07.050;0;2024-07-16 20:45:07.050;24.2;2024-07-16 20:46:13.360;0.680;2024-07-16 20:46:13.360;0.0
2024-07-16 20:45:56.180;446;2024-07-16 20:45:56.180;1161;2024-07-16 20:45:56.180;0;2024-07-16 20:45:56.180;24.2;2024-07-16 20:46:34.620;0.665;2024-07-16 20:46:34.620;0.0
2024-07-16 20:46:13.360;389;2024-07-16 20:46:13.360;1215;2024-07-16 20:46:13.360;0;2024-07-16 20:46:13.360;24.2;2024-07-16 20:46:58.850;0.670;2024-07-16 20:46:58.850;0.0
2024-07-16 20:46:34.620;483;2024-07-16 20:46:34.620;1443;2024-07-16 20:46:34.620;0;2024-07-16 20:46:34.620;24.1;2024-07-16 20:47:18.560;0.675;2024-07-16 20:47:18.560;0.0
2024-07-16 20:46:58.850;360;2024-07-16 20:46:58.850;1092;2024-07-16 20:46:58.850;0;2024-07-16 20:46:58.850;24.1;;;;
2024-07-16 20:47:18.560;245;2024-07-16 20:47:18.560;755;2024-07-16 20:47:18.560;0;2024-07-16 20:47:18.560;24.1;;;;
