1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-16 08:35:29.645;725;2024-07-16 08:35:29.645;1059;2024-07-16 08:35:29.645;0;2024-07-16 08:35:29.645;27.3;2024-07-16 08:35:29.645;0.315;2024-07-16 08:35:29.645;0.0
2024-07-16 08:35:39.667;760;2024-07-16 08:35:39.667;1067;2024-07-16 08:35:39.667;61;2024-07-16 08:35:39.667;27.3;2024-07-16 08:35:39.667;0.288;2024-07-16 08:35:39.667;3.7
2024-07-16 08:35:49.651;770;2024-07-16 08:35:49.651;1075;2024-07-16 08:35:49.651;111;2024-07-16 08:35:49.651;27.4;2024-07-16 08:35:49.651;0.284;2024-07-16 08:35:49.651;6.6
2024-07-16 08:35:59.646;785;2024-07-16 08:35:59.646;1093;2024-07-16 08:35:59.646;161;2024-07-16 08:35:59.646;27.4;2024-07-16 08:35:59.646;0.282;2024-07-16 08:35:59.646;9.5
2024-07-16 08:36:09.633;799;2024-07-16 08:36:09.633;1107;2024-07-16 08:36:09.633;222;2024-07-16 08:36:09.633;27.4;2024-07-16 08:36:09.633;0.278;2024-07-16 08:36:09.633;13.0
2024-07-16 08:36:19.620;823;2024-07-16 08:36:19.620;1122;2024-07-16 08:36:19.620;306;2024-07-16 08:36:19.620;27.4;2024-07-16 08:36:19.620;0.266;2024-07-16 08:36:19.620;17.1
2024-07-16 08:36:29.636;862;2024-07-16 08:36:29.636;1136;2024-07-16 08:36:29.636;465;2024-07-16 08:36:29.636;27.4;2024-07-16 08:36:29.636;0.241;2024-07-16 08:36:29.636;23.5
2024-07-16 08:36:39.618;911;2024-07-16 08:36:39.618;1139;2024-07-16 08:36:39.618;698;2024-07-16 08:36:39.618;27.4;2024-07-16 08:36:39.618;0.200;2024-07-16 08:36:39.618;29.3
2024-07-16 08:36:49.609;961;2024-07-16 08:36:49.609;1145;2024-07-16 08:36:49.609;1028;2024-07-16 08:36:49.609;27.4;2024-07-16 08:36:49.609;0.161;2024-07-16 08:36:49.609;34.8
2024-07-16 08:36:59.600;1012;2024-07-16 08:36:59.600;1149;2024-07-16 08:36:59.600;1537;2024-07-16 08:36:59.600;27.4;2024-07-16 08:36:59.600;0.119;2024-07-16 08:36:59.600;38.4
2024-07-16 08:37:09.590;1036;2024-07-16 08:37:09.590;1142;2024-07-16 08:37:09.590;2009;2024-07-16 08:37:09.590;27.3;2024-07-16 08:37:09.590;0.093;2024-07-16 08:37:09.590;39.2
2024-07-16 08:37:19.582;1062;2024-07-16 08:37:19.582;1139;2024-07-16 08:37:19.582;2813;2024-07-16 08:37:19.582;27.4;2024-07-16 08:37:19.582;0.068;2024-07-16 08:37:19.582;40.2
2024-07-16 08:37:29.572;1079;2024-07-16 08:37:29.572;1136;2024-07-16 08:37:29.572;3670;2024-07-16 08:37:29.572;27.3;2024-07-16 08:37:29.572;0.050;2024-07-16 08:37:29.572;38.5
2024-07-16 08:40:26.342;460;2024-07-16 08:40:26.342;749;2024-07-16 08:40:26.342;0;2024-07-16 08:40:26.342;27.5;2024-07-16 08:40:26.342;0.386;2024-07-16 08:40:26.342;0.0
2024-07-16 08:40:36.332;498;2024-07-16 08:40:36.332;791;2024-07-16 08:40:36.332;61;2024-07-16 08:40:36.332;27.5;2024-07-16 08:40:36.332;0.370;2024-07-16 08:40:36.332;4.7
2024-07-16 08:40:46.311;514;2024-07-16 08:40:46.311;819;2024-07-16 08:40:46.311;111;2024-07-16 08:40:46.311;27.5;2024-07-16 08:40:46.311;0.372;2024-07-16 08:40:46.311;8.7
2024-07-16 08:40:56.262;525;2024-07-16 08:40:56.262;835;2024-07-16 08:40:56.262;161;2024-07-16 08:40:56.262;27.5;2024-07-16 08:40:56.262;0.371;2024-07-16 08:40:56.262;12.5
2024-07-16 08:41:06.299;540;2024-07-16 08:41:06.299;859;2024-07-16 08:41:06.299;222;2024-07-16 08:41:06.299;27.4;2024-07-16 08:41:06.299;0.371;2024-07-16 08:41:06.299;17.3
2024-07-16 08:41:16.288;572;2024-07-16 08:41:16.288;890;2024-07-16 08:41:16.288;306;2024-07-16 08:41:16.288;27.4;2024-07-16 08:41:16.288;0.357;2024-07-16 08:41:16.288;22.9
2024-07-16 08:41:26.279;614;2024-07-16 08:41:26.279;908;2024-07-16 08:41:26.279;465;2024-07-16 08:41:26.279;27.4;2024-07-16 08:41:26.279;0.324;2024-07-16 08:41:26.279;31.6
2024-07-16 08:41:36.262;669;2024-07-16 08:41:36.262;920;2024-07-16 08:41:36.262;697;2024-07-16 08:41:36.262;27.4;2024-07-16 08:41:36.262;0.273;2024-07-16 08:41:36.262;40.0
2024-07-16 08:41:46.255;715;2024-07-16 08:41:46.255;918;2024-07-16 08:41:46.255;1028;2024-07-16 08:41:46.255;27.4;2024-07-16 08:41:46.255;0.221;2024-07-16 08:41:46.255;47.7
2024-07-16 08:41:56.245;762;2024-07-16 08:41:56.245;918;2024-07-16 08:41:56.245;1538;2024-07-16 08:41:56.245;27.3;2024-07-16 08:41:56.245;0.170;2024-07-16 08:41:56.245;54.9
2024-07-16 08:42:06.235;786;2024-07-16 08:42:06.235;910;2024-07-16 08:42:06.235;2009;2024-07-16 08:42:06.235;27.3;2024-07-16 08:42:06.235;0.136;2024-07-16 08:42:06.235;57.4
2024-07-16 08:42:16.225;803;2024-07-16 08:42:16.225;892;2024-07-16 08:42:16.225;2812;2024-07-16 08:42:16.225;27.3;2024-07-16 08:42:16.225;0.100;2024-07-16 08:42:16.225;59.1
2024-07-16 08:42:26.215;809;2024-07-16 08:42:26.215;868;2024-07-16 08:42:26.215;3668;2024-07-16 08:42:26.215;27.2;2024-07-16 08:42:26.215;0.068;2024-07-16 08:42:26.215;52.4
2024-07-16 08:43:53.224;1046;2024-07-16 08:43:53.224;2026;2024-07-16 08:43:53.224;0;2024-07-16 08:43:53.224;27.0;2024-07-16 08:43:53.224;0.484;2024-07-16 08:43:53.224;0.0
2024-07-16 08:44:03.205;1165;2024-07-16 08:44:03.205;2060;2024-07-16 08:44:03.205;61;2024-07-16 08:44:03.205;27.0;2024-07-16 08:44:03.205;0.434;2024-07-16 08:44:03.205;5.6
