1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-15 08:23:35.055;664;2024-07-15 08:23:35.055;1394;2024-07-15 08:23:35.055;0;2024-07-15 08:23:35.055;25.0;2024-07-15 08:23:35.055;0.524;2024-07-15 08:23:35.055;0.0
2024-07-15 08:23:45.044;747;2024-07-15 08:23:45.044;1424;2024-07-15 08:23:45.044;62;2024-07-15 08:23:45.044;25.0;2024-07-15 08:23:45.044;0.475;2024-07-15 08:23:45.044;6.2
2024-07-15 08:23:55.042;762;2024-07-15 08:23:55.042;1319;2024-07-15 08:23:55.042;112;2024-07-15 08:23:55.042;25.0;2024-07-15 08:23:55.042;0.422;2024-07-15 08:23:55.042;9.9
2024-07-15 08:24:05.027;657;2024-07-15 08:24:05.027;1214;2024-07-15 08:24:05.027;162;2024-07-15 08:24:05.027;25.0;2024-07-15 08:24:05.027;0.459;2024-07-15 08:24:05.027;15.6
2024-07-15 08:24:15.018;705;2024-07-15 08:24:15.018;1263;2024-07-15 08:24:15.018;224;2024-07-15 08:24:15.018;25.0;2024-07-15 08:24:15.018;0.442;2024-07-15 08:24:15.018;20.8
2024-07-15 08:24:25.009;837;2024-07-15 08:24:25.009;1396;2024-07-15 08:24:25.009;309;2024-07-15 08:24:25.009;25.0;2024-07-15 08:24:25.009;0.400;2024-07-15 08:24:25.009;26.0
2024-07-15 08:24:34.998;917;2024-07-15 08:24:34.998;1410;2024-07-15 08:24:34.998;467;2024-07-15 08:24:34.998;25.0;2024-07-15 08:24:34.998;0.350;2024-07-15 08:24:34.998;34.3
2024-07-15 08:24:44.988;1010;2024-07-15 08:24:44.988;1398;2024-07-15 08:24:44.988;701;2024-07-15 08:24:44.988;25.0;2024-07-15 08:24:44.988;0.278;2024-07-15 08:24:44.988;40.9
2024-07-15 08:24:54.974;1081;2024-07-15 08:24:54.974;1383;2024-07-15 08:24:54.974;1032;2024-07-15 08:24:54.974;25.0;2024-07-15 08:24:54.974;0.218;2024-07-15 08:24:54.974;47.2
2024-07-15 08:25:04.963;1150;2024-07-15 08:25:04.963;1371;2024-07-15 08:25:04.963;1543;2024-07-15 08:25:04.963;25.0;2024-07-15 08:25:04.963;0.161;2024-07-15 08:25:04.963;52.2
2024-07-15 08:25:14.950;1186;2024-07-15 08:25:14.950;1367;2024-07-15 08:25:14.950;2015;2024-07-15 08:25:14.950;25.0;2024-07-15 08:25:14.950;0.132;2024-07-15 08:25:14.950;55.9
2024-07-15 08:25:24.944;1160;2024-07-15 08:25:24.944;1260;2024-07-15 08:25:24.944;2820;2024-07-15 08:25:24.944;25.0;2024-07-15 08:25:24.944;0.079;2024-07-15 08:25:24.944;46.8
2024-07-15 08:25:34.931;1169;2024-07-15 08:25:34.931;1270;2024-07-15 08:25:34.931;3680;2024-07-15 08:25:34.931;25.0;2024-07-15 08:25:34.931;0.080;2024-07-15 08:25:34.931;61.8
2024-07-15 08:27:31.421;325;2024-07-15 08:27:31.421;690;2024-07-15 08:27:31.421;0;2024-07-15 08:27:31.421;25.1;2024-07-15 08:27:31.421;0.529;2024-07-15 08:27:31.421;0.0
2024-07-15 08:27:41.409;384;2024-07-15 08:27:41.409;833;2024-07-15 08:27:41.409;62;2024-07-15 08:27:41.409;25.1;2024-07-15 08:27:41.409;0.539;2024-07-15 08:27:41.409;7.0
