1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-17 07:40:34.551;1083;2024-07-17 07:40:34.551;1580;2024-07-17 07:40:34.551;0;2024-07-17 07:40:34.551;27.1;2024-07-17 07:40:34.551;0.315;2024-07-17 07:40:34.551;0.0
2024-07-17 07:40:44.498;1142;2024-07-17 07:40:44.498;1595;2024-07-17 07:40:44.498;61;2024-07-17 07:40:44.498;27.1;2024-07-17 07:40:44.498;0.284;2024-07-17 07:40:44.498;3.6
2024-07-17 07:40:54.540;1161;2024-07-17 07:40:54.540;1603;2024-07-17 07:40:54.540;111;2024-07-17 07:40:54.540;27.1;2024-07-17 07:40:54.540;0.276;2024-07-17 07:40:54.540;6.4
2024-07-17 07:41:04.527;1187;2024-07-17 07:41:04.527;1625;2024-07-17 07:41:04.527;161;2024-07-17 07:41:04.527;27.1;2024-07-17 07:41:04.527;0.270;2024-07-17 07:41:04.527;9.1
2024-07-17 07:41:14.517;1217;2024-07-17 07:41:14.517;1641;2024-07-17 07:41:14.517;221;2024-07-17 07:41:14.517;27.0;2024-07-17 07:41:14.517;0.258;2024-07-17 07:41:14.517;12.0
2024-07-17 07:41:24.507;1264;2024-07-17 07:41:24.507;1659;2024-07-17 07:41:24.507;306;2024-07-17 07:41:24.507;27.0;2024-07-17 07:41:24.507;0.238;2024-07-17 07:41:24.507;15.3
2024-07-17 07:41:34.497;1323;2024-07-17 07:41:34.497;1662;2024-07-17 07:41:34.497;465;2024-07-17 07:41:34.497;27.0;2024-07-17 07:41:34.497;0.204;2024-07-17 07:41:34.497;19.9
2024-07-17 07:41:44.487;1391;2024-07-17 07:41:44.487;1669;2024-07-17 07:41:44.487;697;2024-07-17 07:41:44.487;27.0;2024-07-17 07:41:44.487;0.167;2024-07-17 07:41:44.487;24.4
2024-07-17 07:41:54.477;1455;2024-07-17 07:41:54.477;1670;2024-07-17 07:41:54.477;1028;2024-07-17 07:41:54.477;27.0;2024-07-17 07:41:54.477;0.129;2024-07-17 07:41:54.477;27.8
2024-07-17 07:42:04.467;1517;2024-07-17 07:42:04.467;1669;2024-07-17 07:42:04.467;1537;2024-07-17 07:42:04.467;26.9;2024-07-17 07:42:04.467;0.091;2024-07-17 07:42:04.467;29.4
2024-07-17 07:42:14.457;1547;2024-07-17 07:42:14.457;1675;2024-07-17 07:42:14.457;2010;2024-07-17 07:42:14.457;27.0;2024-07-17 07:42:14.457;0.076;2024-07-17 07:42:14.457;32.1
2024-07-17 07:42:24.447;1581;2024-07-17 07:42:24.447;1667;2024-07-17 07:42:24.447;2811;2024-07-17 07:42:24.447;26.9;2024-07-17 07:42:24.447;0.052;2024-07-17 07:42:24.447;30.7
2024-07-17 07:42:34.437;1602;2024-07-17 07:42:34.437;1662;2024-07-17 07:42:34.437;3666;2024-07-17 07:42:34.437;26.9;2024-07-17 07:42:34.437;0.036;2024-07-17 07:42:34.437;27.7
2024-07-17 07:44:58.401;1206;2024-07-17 07:44:58.401;2540;2024-07-17 07:44:58.401;0;2024-07-17 07:44:58.401;26.3;2024-07-17 07:44:58.401;0.525;2024-07-17 07:44:58.401;0.0
2024-07-17 07:45:08.386;1376;2024-07-17 07:45:08.386;2538;2024-07-17 07:45:08.386;61;2024-07-17 07:45:08.386;26.3;2024-07-17 07:45:08.386;0.458;2024-07-17 07:45:08.386;5.9
2024-07-17 07:45:18.376;1426;2024-07-17 07:45:18.376;2543;2024-07-17 07:45:18.376;111;2024-07-17 07:45:18.376;26.2;2024-07-17 07:45:18.376;0.439;2024-07-17 07:45:18.376;10.2
2024-07-17 07:45:28.366;1486;2024-07-17 07:45:28.366;2569;2024-07-17 07:45:28.366;161;2024-07-17 07:45:28.366;26.2;2024-07-17 07:45:28.366;0.422;2024-07-17 07:45:28.366;14.3
2024-07-17 07:45:38.356;1561;2024-07-17 07:45:38.356;2578;2024-07-17 07:45:38.356;221;2024-07-17 07:45:38.356;26.2;2024-07-17 07:45:38.356;0.394;2024-07-17 07:45:38.356;18.3
2024-07-17 07:45:48.346;1661;2024-07-17 07:45:48.346;2564;2024-07-17 07:45:48.346;306;2024-07-17 07:45:48.346;26.2;2024-07-17 07:45:48.346;0.352;2024-07-17 07:45:48.346;22.6
2024-07-17 07:45:58.336;1804;2024-07-17 07:45:58.336;2542;2024-07-17 07:45:58.336;465;2024-07-17 07:45:58.336;26.2;2024-07-17 07:45:58.336;0.290;2024-07-17 07:45:58.336;28.3
2024-07-17 07:46:08.326;1949;2024-07-17 07:46:08.326;2517;2024-07-17 07:46:08.326;697;2024-07-17 07:46:08.326;26.1;2024-07-17 07:46:08.326;0.226;2024-07-17 07:46:08.326;33.1
2024-07-17 07:46:18.316;2054;2024-07-17 07:46:18.316;2475;2024-07-17 07:46:18.316;1027;2024-07-17 07:46:18.316;26.1;2024-07-17 07:46:18.316;0.170;2024-07-17 07:46:18.316;36.7
2024-07-17 07:46:28.246;2125;2024-07-17 07:46:28.246;2421;2024-07-17 07:46:28.246;1537;2024-07-17 07:46:28.246;26.1;2024-07-17 07:46:28.246;0.122;2024-07-17 07:46:28.246;39.4
2024-07-17 07:46:38.296;2141;2024-07-17 07:46:38.296;2371;2024-07-17 07:46:38.296;2009;2024-07-17 07:46:38.296;26.1;2024-07-17 07:46:38.296;0.097;2024-07-17 07:46:38.296;40.9
2024-07-17 07:46:48.286;2148;2024-07-17 07:46:48.286;2304;2024-07-17 07:46:48.286;2811;2024-07-17 07:46:48.286;26.1;2024-07-17 07:46:48.286;0.068;2024-07-17 07:46:48.286;40.1
