Sync,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,,,,,,,,
,24-08-16,08:35:28.281,REG1,,"#1: alpha: 0.071, ETRm: 39.914, Ik: 563.710   ( beta: 0.002, ETRmPot: 45.114 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:35:28.281,REG2,,"#1: alpha: 0.058, ETRm: 39.139, Ik: 677.203   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:35:29.645,FO,1,725,1059,0,0.315,0.0,0,0.42,0,0,0,0,0,0,725,1059,0.315
,24-08-16,08:35:39.667,F,2,760,1067,61,0.288,3.7,726,0.42,0.900,-0.021,0.860,-0.007,0.718,-0.006,725,1059,0.315
,24-08-16,08:35:49.651,F,3,770,1075,111,0.284,6.6,732,0.42,0.889,-0.027,0.845,-0.015,0.727,-0.011,725,1059,0.315
,24-08-16,08:35:59.646,F,4,785,1093,161,0.282,9.5,734,0.42,0.858,-0.075,0.802,-0.031,0.741,-0.023,725,1059,0.315
,24-08-16,08:36:09.633,F,5,799,1107,222,0.278,13.0,736,0.42,0.830,-0.111,0.765,-0.043,0.754,-0.032,725,1059,0.315
,24-08-16,08:36:19.620,F,6,823,1122,306,0.266,17.1,740,0.42,0.783,-0.144,0.704,-0.056,0.777,-0.043,725,1059,0.315
,24-08-16,08:36:29.636,F,7,862,1136,465,0.241,23.5,744,0.42,0.699,-0.174,0.603,-0.068,0.814,-0.055,725,1059,0.315
,24-08-16,08:36:39.618,F,8,911,1139,698,0.200,29.3,742,0.42,0.574,-0.189,0.468,-0.070,0.860,-0.060,725,1059,0.315
,24-08-16,08:36:49.609,F,9,961,1145,1028,0.161,34.8,743,0.42,0.458,-0.204,0.354,-0.075,0.907,-0.068,725,1059,0.315
,24-08-16,08:36:59.600,F,10,1012,1149,1537,0.119,38.4,747,0.42,0.341,-0.204,0.252,-0.078,0.956,-0.075,725,1059,0.315
,24-08-16,08:37:09.590,F,11,1036,1142,2009,0.093,39.2,749,0.42,0.270,-0.177,0.195,-0.073,0.978,-0.071,725,1059,0.315
,24-08-16,08:37:19.582,F,12,1062,1139,2813,0.068,40.2,748,0.42,0.197,-0.171,0.139,-0.070,1.003,-0.071,725,1059,0.315
LCE,24-08-16,08:37:29.572,F,13,1079,1136,3670,0.050,38.5,751,0.42,0.148,-0.153,0.103,-0.068,1.019,-0.069,725,1059,0.315
,24-08-16,08:40:24.951,REG1,,"#1: alpha: 0.088, ETRm: 57.898, Ik: 654.771   ( beta: 0.008, ETRmPot: 79.592 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:40:24.951,REG2,,"#1: alpha: 0.076, ETRm: 56.145, Ik: 741.846   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:40:26.342,FO,14,460,749,0,0.386,0.0,0,0.42,0,0,0,0,0,0,460,749,0.386
,24-08-16,08:40:36.332,F,15,498,791,61,0.370,4.7,480,0.42,0.942,-0.076,0.908,-0.053,0.665,-0.035,460,749,0.386
,24-08-16,08:40:46.311,F,16,514,819,111,0.372,8.7,485,0.42,0.913,-0.156,0.861,-0.085,0.686,-0.058,460,749,0.386
,24-08-16,08:40:56.262,F,17,525,835,161,0.371,12.5,491,0.42,0.901,-0.190,0.843,-0.103,0.701,-0.072,460,749,0.386
,24-08-16,08:41:06.299,F,18,540,859,222,0.371,17.3,500,0.42,0.889,-0.242,0.823,-0.128,0.721,-0.092,460,749,0.386
,24-08-16,08:41:16.288,F,19,572,890,306,0.357,22.9,511,0.42,0.839,-0.311,0.750,-0.158,0.764,-0.121,460,749,0.386
,24-08-16,08:41:26.279,F,20,614,908,465,0.324,31.6,515,0.42,0.748,-0.360,0.627,-0.175,0.820,-0.144,460,749,0.386
,24-08-16,08:41:36.262,F,21,669,920,697,0.273,40.0,515,0.42,0.620,-0.401,0.477,-0.186,0.893,-0.166,460,749,0.386
,24-08-16,08:41:46.255,F,22,715,918,1028,0.221,47.7,515,0.42,0.504,-0.394,0.363,-0.184,0.955,-0.176,460,749,0.386
,24-08-16,08:41:56.245,F,23,762,918,1538,0.170,54.9,520,0.42,0.392,-0.377,0.268,-0.184,1.017,-0.187,460,749,0.386
,24-08-16,08:42:06.235,F,24,786,910,2009,0.136,57.4,517,0.42,0.316,-0.360,0.208,-0.177,1.049,-0.185,460,749,0.386
,24-08-16,08:42:16.225,F,25,803,892,2812,0.100,59.1,507,0.42,0.231,-0.332,0.146,-0.160,1.072,-0.172,460,749,0.386
LCE,24-08-16,08:42:26.215,F,26,809,868,3668,0.068,52.4,511,0.42,0.165,-0.235,0.104,-0.137,1.080,-0.148,460,749,0.386
,24-08-16,08:43:51.824,REG1,,"#1: alpha: 0.100, ETRm: 36.263, Ik: 364.146   ( beta: 0.002, ETRmPot: 40.170 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:43:51.824,REG2,,"#1: alpha: 0.082, ETRm: 34.920, Ik: 426.036   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:43:53.224,FO,27,1046,2026,0,0.484,0.0,0,0.42,0,0,0,0,0,0,1046,2026,0.484
,24-08-16,08:44:03.205,F,28,1165,2060,61,0.434,5.6,1046,0.42,0.883,-0.035,0.793,-0.017,0.575,-0.009,1046,2026,0.484
,24-08-16,08:44:13.194,F,29,1189,2060,111,0.423,9.9,1057,0.42,0.868,-0.023,0.772,-0.017,0.587,-0.010,1046,2026,0.484
,24-08-16,08:44:23.184,F,30,1241,2076,161,0.402,13.6,1077,0.42,0.836,-0.019,0.726,-0.024,0.613,-0.015,1046,2026,0.484
,24-08-16,08:44:33.174,F,31,1339,2130,221,0.371,17.2,1032,0.42,0.720,-0.120,0.555,-0.049,0.661,-0.032,1046,2026,0.484
,24-08-16,08:44:43.165,F,32,1435,2149,306,0.332,21.3,1087,0.42,0.672,-0.084,0.509,-0.057,0.708,-0.040,1046,2026,0.484
,24-08-16,08:44:53.154,F,33,1543,2118,465,0.271,26.5,1082,0.42,0.555,-0.057,0.389,-0.043,0.762,-0.033,1046,2026,0.484
,24-08-16,08:45:03.144,F,34,1643,2088,697,0.213,31.2,1077,0.42,0.440,-0.032,0.288,-0.030,0.811,-0.024,1046,2026,0.484
,24-08-16,08:45:13.134,F,35,1716,2040,1027,0.159,34.3,1069,0.42,0.334,0.009,0.208,-0.007,0.847,-0.006,1046,2026,0.484
,24-08-16,08:45:23.124,F,36,1763,1986,1537,0.112,36.2,1056,0.42,0.240,0.051,0.144,0.020,0.870,0.018,1046,2026,0.484
,24-08-16,08:45:33.114,F,37,1754,1923,2007,0.088,37.1,1053,0.42,0.194,0.112,0.116,0.054,0.866,0.046,1046,2026,0.484
,24-08-16,08:45:43.104,F,38,1754,1865,2811,0.060,35.4,1047,0.42,0.136,0.165,0.081,0.086,0.866,0.074,1046,2026,0.484
LCE,24-08-16,08:45:53.094,F,39,1732,1808,3662,0.042,32.3,974,0.42,0.091,0.149,0.051,0.121,0.855,0.103,1046,2026,0.484
,24-08-16,08:47:52.733,REG1,,"#1: alpha: 0.097, ETRm: 48.565, Ik: 502.434   ( beta: 0.004, ETRmPot: 57.410 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:47:52.733,REG2,,"#1: alpha: 0.081, ETRm: 47.021, Ik: 583.743   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:47:54.123,FO,40,860,1643,0,0.477,0.0,0,0.42,0,0,0,0,0,0,860,1643,0.477
,24-08-16,08:48:04.114,F,41,1042,1782,61,0.415,5.3,957,0.42,0.897,-0.054,0.824,-0.078,0.634,-0.049,860,1643,0.477
,24-08-16,08:48:14.104,F,42,1074,1817,111,0.409,9.5,972,0.42,0.879,-0.079,0.796,-0.096,0.654,-0.063,860,1643,0.477
,24-08-16,08:48:24.094,F,43,1121,1871,161,0.401,13.6,985,0.42,0.847,-0.132,0.744,-0.122,0.682,-0.083,860,1643,0.477
,24-08-16,08:48:34.084,F,44,1165,1904,221,0.388,18.0,990,0.42,0.809,-0.167,0.687,-0.137,0.709,-0.097,860,1643,0.477
,24-08-16,08:48:44.073,F,45,1226,1922,306,0.362,23.3,999,0.42,0.754,-0.179,0.614,-0.145,0.746,-0.108,860,1643,0.477
,24-08-16,08:48:54.070,F,46,1342,1950,465,0.312,30.5,1006,0.42,0.644,-0.206,0.483,-0.157,0.817,-0.129,860,1643,0.477
,24-08-16,08:49:04.053,F,47,1466,1964,697,0.254,37.2,1006,0.42,0.520,-0.223,0.357,-0.163,0.892,-0.146,860,1643,0.477
,24-08-16,08:49:14.041,F,48,1558,1954,1028,0.203,43.8,1008,0.42,0.419,-0.208,0.271,-0.159,0.948,-0.151,860,1643,0.477
,24-08-16,08:49:24.033,F,49,1648,1933,1538,0.147,47.5,1000,0.42,0.305,-0.192,0.185,-0.150,1.003,-0.150,860,1643,0.477
,24-08-16,08:49:34.023,F,50,1672,1889,2009,0.115,48.5,994,0.42,0.242,-0.143,0.144,-0.130,1.018,-0.133,860,1643,0.477
,24-08-16,08:49:44.014,F,51,1700,1853,2811,0.083,49.0,991,0.42,0.177,-0.101,0.103,-0.113,1.035,-0.118,860,1643,0.477
LCE,24-08-16,08:49:54.003,F,52,1700,1802,3668,0.057,43.9,990,0.42,0.126,-0.037,0.073,-0.088,1.035,-0.092,860,1643,0.477
,24-08-16,08:51:38.454,REG1,,"#1: alpha: 0.106, ETRm: 40.693, Ik: 382.349   ( beta: 0.002, ETRmPot: 44.825 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:51:38.454,REG2,,"#1: alpha: 0.087, ETRm: 39.337, Ik: 449.617   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:51:39.842,FO,53,929,1891,0,0.509,0.0,0,0.42,0,0,0,0,0,0,929,1891,0.509
,24-08-16,08:51:49.833,F,54,1099,1971,61,0.442,5.7,966,0.42,0.868,-0.045,0.763,-0.041,0.581,-0.023,929,1891,0.509
,24-08-16,08:51:59.822,F,55,1129,2029,111,0.444,10.3,991,0.42,0.867,-0.079,0.761,-0.068,0.597,-0.041,929,1891,0.509
,24-08-16,08:52:09.813,F,56,1198,2109,161,0.432,14.6,1001,0.42,0.822,-0.152,0.687,-0.103,0.634,-0.066,929,1891,0.509
,24-08-16,08:52:19.808,F,57,1270,2130,221,0.404,18.7,1006,0.42,0.765,-0.168,0.606,-0.112,0.672,-0.076,929,1891,0.509
,24-08-16,08:52:29.797,F,58,1361,2145,306,0.366,23.5,1012,0.42,0.692,-0.178,0.515,-0.118,0.720,-0.086,929,1891,0.509
,24-08-16,08:52:39.784,F,59,1502,2143,465,0.299,29.2,1013,0.42,0.567,-0.175,0.382,-0.118,0.794,-0.093,929,1891,0.509
,24-08-16,08:52:49.772,F,60,1629,2133,697,0.236,34.5,1015,0.42,0.451,-0.162,0.281,-0.113,0.861,-0.097,929,1891,0.509
,24-08-16,08:52:59.762,F,61,1736,2102,1027,0.174,37.5,1008,0.42,0.335,-0.137,0.195,-0.100,0.918,-0.092,929,1891,0.509
,24-08-16,08:53:09.751,F,62,1805,2066,1537,0.126,40.7,1010,0.42,0.247,-0.098,0.138,-0.085,0.955,-0.081,929,1891,0.509
,24-08-16,08:53:19.742,F,63,1830,2029,2009,0.098,41.3,1015,0.42,0.196,-0.054,0.109,-0.068,0.968,-0.066,929,1891,0.509
,24-08-16,08:53:29.733,F,64,1843,1982,2809,0.070,41.3,1019,0.42,0.144,-0.001,0.080,-0.046,0.975,-0.045,929,1891,0.509
LCE,24-08-16,08:53:39.722,F,65,1846,1938,3666,0.047,36.2,1016,0.42,0.100,0.042,0.055,-0.024,0.976,-0.023,929,1891,0.509
,24-08-16,08:59:36.549,REG1,,"#1: alpha: 0.093, ETRm: 33.688, Ik: 360.847   ( beta: 0.001, ETRmPot: 35.404 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-16,08:59:36.549,REG2,,"#1: alpha: 0.075, ETRm: 32.903, Ik: 439.024   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-16,08:59:37.946,FO,66,1247,2419,0,0.484,0.0,0,0.42,0,0,0,0,0,0,1247,2419,0.484
,24-08-16,08:59:47.936,F,67,1402,2404,61,0.417,5.3,1257,0.42,0.874,0.021,0.784,0.006,0.580,0.003,1247,2419,0.484
,24-08-16,08:59:57.916,F,68,1452,2425,111,0.401,9.3,1267,0.42,0.840,0.012,0.733,-0.002,0.600,-0.001,1247,2419,0.484
,24-08-16,09:00:07.906,F,69,1509,2417,161,0.376,12.7,1257,0.42,0.783,0.010,0.652,0.001,0.624,0.000,1247,2419,0.484
,24-08-16,09:00:17.901,F,70,1580,2443,221,0.353,16.4,1256,0.42,0.727,-0.013,0.578,-0.010,0.653,-0.006,1247,2419,0.484
,24-08-16,09:00:27.885,F,71,1684,2444,306,0.311,20.0,1255,0.42,0.639,-0.015,0.476,-0.010,0.696,-0.007,1247,2419,0.484
,24-08-16,09:00:37.875,F,72,1817,2420,465,0.249,24.3,1241,0.42,0.511,-0.006,0.349,0.000,0.751,0.000,1247,2419,0.484
