Date,Time,Time,Type,No.,1:PAR,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,colony,leachate,species,note
24-07-13,5:42:41,5:42:41,FO,27,0,226,687,0.671,A9.2H,ambient,9,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:43:15,5:43:15,FO,29,0,295,757,0.610,A1.2H,ambient,1,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:43:37,5:43:37,FO,30,0,421,1213,0.653,A10.2H,ambient,10,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:43:56,5:43:56,FO,31,0,265,798,0.668,A2.2H,ambient,2,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:44:16,5:44:16,FO,32,0,489,1406,0.652,A10.2C,ambient,10,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:46:51,5:46:51,FO,33,0,250,803,0.689,H8.2C,hot,8,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:47:12,5:47:12,FO,34,0,232,672,0.655,H5.2H,hot,5,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:48:06,5:48:06,FO,35,0,167,461,0.638,H8.2L,hot,8,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:49:00,5:49:00,FO,36,0,304,815,0.627,H9.2L,hot,9,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:49:43,5:49:43,FO,37,0,212,589,0.640,H2.2C,hot,2,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:50:09,5:50:09,FO,38,0,255,750,0.660,H5.2C,hot,5,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:50:30,5:50:30,FO,39,0,189,521,0.637,H6.2H,hot,6,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:50:56,5:50:56,FO,40,0,119,385,0.691,H2.2H,hot,2,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:51:19,5:51:19,FO,41,0,260,735,0.646,H6.2C,hot,6,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:51:43,5:51:43,FO,42,0,199,542,0.633,H1.2C,hot,1,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:52:12,5:52:12,FO,43,0,282,818,0.655,H9.2H,hot,9,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:52:42,5:52:42,FO,44,0,158,508,0.689,H1.2H,hot,1,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:53:05,5:53:05,FO,45,0,282,768,0.633,H1.2L,hot,1,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:53:31,5:53:31,FO,46,0,234,717,0.674,H6.2L,hot,6,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:53:57,5:53:57,FO,47,0,403,1149,0.649,H3.2H,hot,3,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:54:39,5:54:39,FO,49,0,455,1225,0.629,H10.2H,hot,10,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:55:16,5:55:16,FO,50,0,126,296,0.574,H8.2H,hot,8,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:55:43,5:55:43,FO,51,0,264,730,0.638,H5.2L,hot,5,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:56:24,5:56:24,FO,52,0,242,689,0.649,H2.2L,hot,2,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:56:53,5:56:53,FO,53,0,419,1161,0.639,H10.2L,hot,10,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:58:03,5:58:03,FO,54,0,345,1046,0.670,H4.2H,hot,4,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:58:28,5:58:28,FO,55,0,354,952,0.628,H7.2H,hot,7,high,Montipora capitata x Symbiodinium spp.,
24-07-13,5:58:55,5:58:55,FO,56,0,420,1172,0.642,H3.2C,hot,3,control,Montipora capitata x Symbiodinium spp.,
24-07-13,5:59:16,5:59:16,FO,57,0,251,750,0.665,H4.2L,hot,4,low,Montipora capitata x Symbiodinium spp.,
24-07-13,5:59:38,5:59:38,FO,58,0,181,470,0.615,H7.2L,hot,7,low,Montipora capitata x Symbiodinium spp.,
24-07-13,6:00:00,6:00:00,FO,59,0,396,1058,0.626,H3.2L,hot,3,low,Montipora capitata x Symbiodinium spp.,
24-07-13,6:00:54,6:00:54,FO,61,0,418,1227,0.659,H4.2C,hot,4,control,Montipora capitata x Symbiodinium spp.,
24-07-13,6:01:48,6:01:48,FO,63,0,211,557,0.621,H10.2C,hot,10,control,Montipora capitata x Symbiodinium spp.,
24-07-13,6:02:11,6:02:11,FO,64,0,133,375,0.645,H9.2C,hot,9,control,Montipora capitata x Symbiodinium spp.,
24-07-13,6:02:40,6:02:40,FO,65,0,136,412,0.670,H7.2C,hot,7,control,Montipora capitata x Symbiodinium spp.,
