Date,Time,Type,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,colony,leachate,species,note
24-08-17,21:46:59.160,FO,196,549,0.643,A8.2H,ambient,8,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:47:23.390,FO,116,352,0.670,A1.2H,ambient,1,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:47:49.360,FO,128,371,0.655,A2.2H,ambient,2,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:48:11.410,FO,70,218,0.679,A4.2H,ambient,4,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:48:30.430,FO,115,344,0.666,A5.2H,ambient,5,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:49:12.180,FO,116,387,0.700,A10.2L,ambient,10,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:49:30.110,FO,84,307,0.726,A3.2L,ambient,3,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:49:53.650,FO,91,249,0.635,A9.2L,ambient,9,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:50:23.440,FO,117,353,0.669,A4.2L,ambient,4,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:50:41.910,FO,69,218,0.683,A6.2L,ambient,6,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:51:14.480,FO,177,517,0.658,A10.2C,ambient,10,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:51:33.050,FO,61,211,0.711,A9.2C,ambient,9,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:51:53.210,FO,127,407,0.688,A1.2C,ambient,1,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:52:09.400,FO,74,248,0.702,A2.2C,ambient,2,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:52:31.450,FO,103,320,0.678,A7.2C,ambient,7,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:54:01.870,FO,91,269,0.662,H10.2C,hot,10,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:54:20.730,FO,79,267,0.704,H1.2C,hot,1,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:54:43.280,FO,273,767,0.644,H8.2C,hot,8,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:55:10.690,FO,120,360,0.667,H3.2C,hot,3,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:55:28.910,FO,106,254,0.583,H2.2C,hot,2,control,Montipora capitata x Symbiodinium spp.,
24-08-17,21:55:55.950,FO,78,241,0.676,H6.2H,hot,6,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:56:12.340,FO,189,560,0.663,H3.2H,hot,3,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:56:26.050,FO,275,763,0.640,H2.2H,hot,2,high,Montipora capitata x Symbiodinium spp.,
