Date,Time,Type,1:Fo,1:Fm,1:Fv/Fm,sample_id,temp,colony,leachate,species,note
24-08-17,21:56:45.550,FO,186,537,0.654,H9.2H,hot,9,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:57:06.410,FO,174,531,0.672,H5.2H,hot,5,high,Montipora capitata x Symbiodinium spp.,
24-08-17,21:57:38.290,FO,72,213,0.662,H6.2L,hot,6,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:57:55.220,FO,136,430,0.684,H4.2L,hot,4,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:58:10.550,FO,101,316,0.680,H1.2L,hot,1,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:58:25.860,FO,108,331,0.674,H10.2L,hot,10,low,Montipora capitata x Symbiodinium spp.,
24-08-17,21:58:41.250,FO,101,324,0.688,H7.2L,hot,7,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:01:38.610,FO,108,291,0.629,A8.2C,ambient,8,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:01:57.880,FO,142,369,0.615,A4.2C,ambient,4,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:02:15.600,FO,103,289,0.644,A5.2C,ambient,5,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:02:34.370,FO,100,245,0.592,A6.2C,ambient,6,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:02:54.680,FO,201,539,0.627,A3.2C,ambient,3,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:03:37.580,FO,123,358,0.656,A10.2H,ambient,10,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:03:50.090,FO,106,331,0.680,A7.2H,ambient,7,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:04:05.940,FO,242,755,0.679,A3.2H,ambient,3,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:04:25.650,FO,113,352,0.679,A9.2H,ambient,9,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:04:43.370,FO,144,431,0.666,A6.2H,ambient,6,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:05:19.370,FO,96,306,0.686,A2.2L,ambient,2,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:05:33.870,FO,133,414,0.679,A5.2L,ambient,5,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:05:52.920,FO,110,337,0.674,A1.2L,ambient,1,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:06:09.600,FO,110,311,0.646,A8.2L,ambient,8,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:06:29.220,FO,83,241,0.656,A7.2L,ambient,7,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:07:32.550,FO,94,297,0.684,H3.2L,hot,3,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:07:51.590,FO,68,205,0.668,H2.2L,hot,2,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:08:12.990,FO,107,339,0.684,H8.2L,hot,8,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:08:40.250,FO,106,296,0.642,H9.2L,hot,9,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:09:01.900,FO,233,696,0.665,H5.2L,hot,5,low,Montipora capitata x Symbiodinium spp.,
24-08-17,22:09:33.050,FO,24,87,0.724,H4.2H,hot,4,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:09:52.250,FO,227,663,0.658,H10.2H,hot,10,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:10:14.840,FO,437,1213,0.640,H8.2H,hot,8,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:10:38.180,FO,248,741,0.665,H7.2H,hot,7,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:10:56.050,FO,283,817,0.654,H1.2H,hot,1,high,Montipora capitata x Symbiodinium spp.,
24-08-17,22:11:55.240,FO,229,692,0.669,H7.2C,hot,7,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:12:44.750,FO,189,538,0.649,H6.2C,hot,6,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:13:04.860,FO,174,553,0.685,H4.2C,hot,4,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:13:25.550,FO,77,222,0.653,H9.2C,hot,9,control,Montipora capitata x Symbiodinium spp.,
24-08-17,22:13:42.550,FO,112,343,0.673,H5.2C,hot,5,control,Montipora capitata x Symbiodinium spp.,
