Sync,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:ETR,1:Fo',1:ETR-F.,1:qP,1:qN,1:qL,1:NPQ,1:Y (NO),1:Y (NPQ),1:Fo,1:Fm,1:Fv/Fm
,,,D,,"Device Nr: #1, DIVING-PAM-II (UWFC0119A)",,,,,,,,,,,,,,,
,24-08-17,07:40:33.166,REG1,,"#1: alpha: 0.065, ETRm: 30.822, Ik: 476.715   ( beta: 0.002, ETRmPot: 35.936 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-17,07:40:33.166,REG2,,"#1: alpha: 0.054, ETRm: 29.785, Ik: 552.327   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-17,07:40:34.551,FO,1,1083,1580,0,0.315,0.0,0,0.42,0,0,0,0,0,0,1083,1580,0.315
,24-08-17,07:40:44.498,F,2,1142,1595,61,0.284,3.6,1083,0.42,0.885,-0.030,0.839,-0.009,0.723,-0.007,1083,1580,0.315
,24-08-17,07:40:54.540,F,3,1161,1603,111,0.276,6.4,1092,0.42,0.865,-0.028,0.814,-0.014,0.735,-0.011,1083,1580,0.315
,24-08-17,07:41:04.527,F,4,1187,1625,161,0.270,9.1,1094,0.42,0.825,-0.068,0.760,-0.028,0.751,-0.021,1083,1580,0.315
,24-08-17,07:41:14.517,F,5,1217,1641,221,0.258,12.0,1100,0.42,0.784,-0.089,0.709,-0.037,0.770,-0.028,1083,1580,0.315
,24-08-17,07:41:24.507,F,6,1264,1659,306,0.238,15.3,1102,0.42,0.709,-0.121,0.618,-0.048,0.800,-0.038,1083,1580,0.315
,24-08-17,07:41:34.497,F,7,1323,1662,465,0.204,19.9,1106,0.42,0.610,-0.119,0.510,-0.049,0.837,-0.041,1083,1580,0.315
,24-08-17,07:41:44.487,F,8,1391,1669,697,0.167,24.4,1106,0.42,0.494,-0.133,0.393,-0.053,0.880,-0.047,1083,1580,0.315
,24-08-17,07:41:54.477,F,9,1455,1670,1028,0.129,27.8,1111,0.42,0.385,-0.125,0.294,-0.054,0.921,-0.050,1083,1580,0.315
,24-08-17,07:42:04.467,F,10,1517,1669,1537,0.091,29.4,1116,0.42,0.275,-0.113,0.202,-0.053,0.960,-0.051,1083,1580,0.315
,24-08-17,07:42:14.457,F,11,1547,1675,2010,0.076,32.1,1123,0.42,0.232,-0.111,0.168,-0.057,0.979,-0.055,1083,1580,0.315
,24-08-17,07:42:24.447,F,12,1581,1667,2811,0.052,30.7,1130,0.42,0.160,-0.080,0.114,-0.052,1.001,-0.053,1083,1580,0.315
LCE,24-08-17,07:42:34.437,F,13,1602,1662,3666,0.036,27.7,1130,0.42,0.113,-0.070,0.080,-0.049,1.014,-0.050,1083,1580,0.315
,24-08-17,07:44:57.006,REG1,,"#1: alpha: 0.105, ETRm: 39.664, Ik: 377.368   ( beta: 0.001, ETRmPot: 41.463 )   (Platt et al. 1980)",,,,,,,,,,,,,,,
,24-08-17,07:44:57.006,REG2,,"#1: alpha: 0.084, ETRm: 38.864, Ik: 464.122   (Jassby and Platt 1976)",,,,,,,,,,,,,,,
LCS,24-08-17,07:44:58.401,FO,14,1206,2540,0,0.525,0.0,0,0.42,0,0,0,0,0,0,1206,2540,0.525
,24-08-17,07:45:08.386,F,15,1376,2538,61,0.458,5.9,1235,0.42,0.892,0.023,0.801,0.001,0.542,0.000,1206,2540,0.525
,24-08-17,07:45:18.376,F,16,1426,2543,111,0.439,10.2,1241,0.42,0.858,0.024,0.747,-0.001,0.561,0.000,1206,2540,0.525
,24-08-17,07:45:28.366,F,17,1486,2569,161,0.422,14.3,1244,0.42,0.817,0.007,0.684,-0.011,0.585,-0.007,1206,2540,0.525
,24-08-17,07:45:38.356,F,18,1561,2578,221,0.394,18.3,1243,0.42,0.762,-0.001,0.607,-0.015,0.615,-0.009,1206,2540,0.525
,24-08-17,07:45:48.346,F,19,1661,2564,306,0.352,22.6,1240,0.42,0.682,0.007,0.509,-0.009,0.654,-0.006,1206,2540,0.525
