1: F - Datetime;1: F - Value;1: Fm' - Datetime;1: Fm' - Value;1: PAR - Datetime;1: PAR - Value;1: Temp - Datetime;1: Temp - Value;1: Y (II) - Datetime;1: Y (II) - Value;1: ETR - Datetime;1: ETR - Value
2024-07-14 20:15:47.201;422;2024-07-14 20:15:47.201;1269;2024-07-14 20:15:47.201;0;2024-07-14 20:15:47.201;24.2;2024-07-14 20:15:47.201;0.667;2024-07-14 20:15:47.201;0.0
2024-07-14 20:16:49.738;372;2024-07-14 20:16:49.738;1050;2024-07-14 20:16:49.738;0;2024-07-14 20:16:49.738;24.2;2024-07-14 20:16:49.738;0.646;2024-07-14 20:16:49.738;0.0
2024-07-14 20:17:42.330;337;2024-07-14 20:17:42.330;1064;2024-07-14 20:17:42.330;0;2024-07-14 20:17:42.330;24.2;2024-07-14 20:17:42.330;0.683;2024-07-14 20:17:42.330;0.0
2024-07-14 20:18:35.580;394;2024-07-14 20:18:35.580;1142;2024-07-14 20:18:35.580;0;2024-07-14 20:18:35.580;24.2;2024-07-14 20:18:35.580;0.655;2024-07-14 20:18:35.580;0.0
2024-07-14 20:19:29.398;887;2024-07-14 20:19:29.398;2612;2024-07-14 20:19:29.398;0;2024-07-14 20:19:29.398;24.3;2024-07-14 20:19:29.398;0.660;2024-07-14 20:19:29.398;0.0
2024-07-14 20:25:41.166;729;2024-07-14 20:25:41.166;2097;2024-07-14 20:25:41.166;0;2024-07-14 20:25:41.166;24.2;2024-07-14 20:25:41.166;0.652;2024-07-14 20:25:41.166;0.0
2024-07-14 20:27:07.215;177;2024-07-14 20:27:07.215;617;2024-07-14 20:27:07.215;0;2024-07-14 20:27:07.215;24.2;2024-07-14 20:27:07.215;0.713;2024-07-14 20:27:07.215;0.0
2024-07-14 20:27:55.774;569;2024-07-14 20:27:55.774;1747;2024-07-14 20:27:55.774;0;2024-07-14 20:27:55.774;24.2;2024-07-14 20:27:55.774;0.674;2024-07-14 20:27:55.774;0.0
2024-07-14 20:29:16.641;207;2024-07-14 20:29:16.641;361;2024-07-14 20:29:16.641;0;2024-07-14 20:29:16.641;24.2;2024-07-14 20:29:16.641;0.427;2024-07-14 20:29:16.641;0.0
2024-07-14 20:29:49.219;151;2024-07-14 20:29:49.219;364;2024-07-14 20:29:49.219;0;2024-07-14 20:29:49.219;24.2;2024-07-14 20:29:49.219;0.585;2024-07-14 20:29:49.219;0.0
2024-07-14 20:30:12.548;892;2024-07-14 20:30:12.548;2887;2024-07-14 20:30:12.548;0;2024-07-14 20:30:12.548;24.2;2024-07-14 20:30:12.548;0.691;2024-07-14 20:30:12.548;0.0
2024-07-14 20:31:42.038;346;2024-07-14 20:31:42.038;1018;2024-07-14 20:31:42.038;0;2024-07-14 20:31:42.038;24.2;2024-07-14 20:31:42.038;0.660;2024-07-14 20:31:42.038;0.0
2024-07-14 20:32:50.372;570;2024-07-14 20:32:50.372;2049;2024-07-14 20:32:50.372;0;2024-07-14 20:32:50.372;24.2;2024-07-14 20:32:50.372;0.722;2024-07-14 20:32:50.372;0.0
2024-07-14 20:33:32.792;729;2024-07-14 20:33:32.792;2248;2024-07-14 20:33:32.792;0;2024-07-14 20:33:32.792;24.1;2024-07-14 20:33:32.792;0.676;2024-07-14 20:33:32.792;0.0
2024-07-14 20:39:52.018;347;2024-07-14 20:39:52.018;1032;2024-07-14 20:39:52.018;0;2024-07-14 20:39:52.018;24.2;2024-07-14 20:39:52.018;0.664;2024-07-14 20:39:52.018;0.0
2024-07-14 20:40:50.272;643;2024-07-14 20:40:50.272;1928;2024-07-14 20:40:50.272;0;2024-07-14 20:40:50.272;24.2;2024-07-14 20:40:50.272;0.666;2024-07-14 20:40:50.272;0.0
2024-07-14 20:41:52.556;537;2024-07-14 20:41:52.556;1512;2024-07-14 20:41:52.556;0;2024-07-14 20:41:52.556;24.2;2024-07-14 20:41:52.556;0.645;2024-07-14 20:41:52.556;0.0
2024-07-14 20:42:45.854;598;2024-07-14 20:42:45.854;1827;2024-07-14 20:42:45.854;0;2024-07-14 20:42:45.854;24.2;2024-07-14 20:42:45.854;0.673;2024-07-14 20:42:45.854;0.0
2024-07-14 20:44:01.214;259;2024-07-14 20:44:01.214;616;2024-07-14 20:44:01.214;0;2024-07-14 20:44:01.214;24.2;2024-07-14 20:44:01.214;0.580;2024-07-14 20:44:01.214;0.0
2024-07-14 20:44:41.278;695;2024-07-14 20:44:41.278;2049;2024-07-14 20:44:41.278;0;2024-07-14 20:44:41.278;24.1;2024-07-14 20:44:41.278;0.661;2024-07-14 20:44:41.278;0.0
2024-07-14 20:48:46.887;485;2024-07-14 20:48:46.887;1443;2024-07-14 20:48:46.887;0;2024-07-14 20:48:46.887;24.2;2024-07-14 20:48:46.887;0.664;2024-07-14 20:48:46.887;0.0
2024-07-14 20:50:27.091;919;2024-07-14 20:50:27.091;2683;2024-07-14 20:50:27.091;0;2024-07-14 20:50:27.091;24.1;2024-07-14 20:50:27.091;0.657;2024-07-14 20:50:27.091;0.0
2024-07-14 20:51:42.637;787;2024-07-14 20:51:42.637;2324;2024-07-14 20:51:42.637;0;2024-07-14 20:51:42.637;24.1;2024-07-14 20:51:42.637;0.661;2024-07-14 20:51:42.637;0.0
2024-07-14 20:52:55.850;683;2024-07-14 20:52:55.850;2087;2024-07-14 20:52:55.850;0;2024-07-14 20:52:55.850;24.2;2024-07-14 20:52:55.850;0.673;2024-07-14 20:52:55.850;0.0
2024-07-14 20:54:03.156;718;2024-07-14 20:54:03.156;2084;2024-07-14 20:54:03.156;0;2024-07-14 20:54:03.156;24.1;2024-07-14 20:54:03.156;0.655;2024-07-14 20:54:03.156;0.0
2024-07-14 20:58:41.643;194;2024-07-14 20:58:41.643;586;2024-07-14 20:58:41.643;0;2024-07-14 20:58:41.643;24.1;2024-07-14 20:58:41.643;0.669;2024-07-14 20:58:41.643;0.0
2024-07-14 20:59:33.868;498;2024-07-14 20:59:33.868;1538;2024-07-14 20:59:33.868;0;2024-07-14 20:59:33.868;24.1;2024-07-14 20:59:33.868;0.676;2024-07-14 20:59:33.868;0.0
2024-07-14 21:00:35.693;765;2024-07-14 21:00:35.693;2262;2024-07-14 21:00:35.693;0;2024-07-14 21:00:35.693;24.1;2024-07-14 21:00:35.693;0.662;2024-07-14 21:00:35.693;0.0
2024-07-14 21:01:30.904;245;2024-07-14 21:01:30.904;727;2024-07-14 21:01:30.904;0;2024-07-14 21:01:30.904;24.1;2024-07-14 21:01:30.904;0.663;2024-07-14 21:01:30.904;0.0
2024-07-14 21:03:13.798;600;2024-07-14 21:03:13.798;1639;2024-07-14 21:03:13.798;0;2024-07-14 21:03:13.798;24.1;2024-07-14 21:03:13.798;0.634;2024-07-14 21:03:13.798;0.0
2024-07-14 21:08:29.849;515;2024-07-14 21:08:29.849;1514;2024-07-14 21:08:29.849;0;2024-07-14 21:08:29.849;24.1;2024-07-14 21:08:29.849;0.660;2024-07-14 21:08:29.849;0.0
2024-07-14 21:09:36.377;498;2024-07-14 21:09:36.377;1544;2024-07-14 21:09:36.377;0;2024-07-14 21:09:36.377;24.1;2024-07-14 21:09:36.377;0.677;2024-07-14 21:09:36.377;0.0
2024-07-14 21:10:44.996;498;2024-07-14 21:10:44.996;1492;2024-07-14 21:10:44.996;0;2024-07-14 21:10:44.996;24.1;2024-07-14 21:10:44.996;0.666;2024-07-14 21:10:44.996;0.0
2024-07-14 21:11:43.173;557;2024-07-14 21:11:43.173;1632;2024-07-14 21:11:43.173;0;2024-07-14 21:11:43.173;24.1;2024-07-14 21:11:43.173;0.659;2024-07-14 21:11:43.173;0.0
2024-07-14 21:12:59.363;365;2024-07-14 21:12:59.363;1119;2024-07-14 21:12:59.363;0;2024-07-14 21:12:59.363;24.1;2024-07-14 21:12:59.363;0.674;2024-07-14 21:12:59.363;0.0
2024-07-14 21:18:03.874;471;2024-07-14 21:18:03.874;1461;2024-07-14 21:18:03.874;0;2024-07-14 21:18:03.874;24.1;2024-07-14 21:18:03.874;0.678;2024-07-14 21:18:03.874;0.0
2024-07-14 21:19:09.893;356;2024-07-14 21:19:09.893;1075;2024-07-14 21:19:09.893;0;2024-07-14 21:19:09.893;24.1;2024-07-14 21:19:09.893;0.669;2024-07-14 21:19:09.893;0.0
2024-07-14 21:20:56.724;671;2024-07-14 21:20:56.724;2065;2024-07-14 21:20:56.724;0;2024-07-14 21:20:56.724;24.1;2024-07-14 21:20:56.724;0.675;2024-07-14 21:20:56.724;0.0
2024-07-14 21:22:01.850;375;2024-07-14 21:22:01.850;1072;2024-07-14 21:22:01.850;0;2024-07-14 21:22:01.850;24.0;2024-07-14 21:22:01.850;0.650;2024-07-14 21:22:01.850;0.0
2024-07-14 21:23:06.155;323;2024-07-14 21:23:06.155;936;2024-07-14 21:23:06.155;0;2024-07-14 21:23:06.155;24.1;2024-07-14 21:23:06.155;0.655;2024-07-14 21:23:06.155;0.0
2024-07-14 21:27:25.116;565;2024-07-14 21:27:25.116;1668;2024-07-14 21:27:25.116;0;2024-07-14 21:27:25.116;24.0;2024-07-14 21:27:25.116;0.661;2024-07-14 21:27:25.116;0.0
2024-07-14 21:28:40.872;616;2024-07-14 21:28:40.872;1977;2024-07-14 21:28:40.872;0;2024-07-14 21:28:40.872;24.0;2024-07-14 21:28:40.872;0.688;2024-07-14 21:28:40.872;0.0
2024-07-14 21:29:39.614;351;2024-07-14 21:29:39.614;1038;2024-07-14 21:29:39.614;0;2024-07-14 21:29:39.614;24.0;2024-07-14 21:29:39.614;0.662;2024-07-14 21:29:39.614;0.0
2024-07-14 21:30:49.148;504;2024-07-14 21:30:49.148;1576;2024-07-14 21:30:49.148;0;2024-07-14 21:30:49.148;24.0;2024-07-14 21:30:49.148;0.680;2024-07-14 21:30:49.148;0.0
2024-07-14 21:31:42.502;779;2024-07-14 21:31:42.502;2322;2024-07-14 21:31:42.502;0;2024-07-14 21:31:42.502;24.0;2024-07-14 21:31:42.502;0.665;2024-07-14 21:31:42.502;0.0
2024-07-14 21:37:09.161;595;2024-07-14 21:37:09.161;1789;2024-07-14 21:37:09.161;0;2024-07-14 21:37:09.161;24.0;2024-07-14 21:37:09.161;0.667;2024-07-14 21:37:09.161;0.0
2024-07-14 21:38:03.740;865;2024-07-14 21:38:03.740;2492;2024-07-14 21:38:03.740;0;2024-07-14 21:38:03.740;24.0;2024-07-14 21:38:03.740;0.653;2024-07-14 21:38:03.740;0.0
2024-07-14 21:39:03.495;1026;2024-07-14 21:39:03.495;2856;2024-07-14 21:39:03.495;0;2024-07-14 21:39:03.495;24.0;2024-07-14 21:39:03.495;0.641;2024-07-14 21:39:03.495;0.0
2024-07-14 21:40:50.526;718;2024-07-14 21:40:50.526;2065;2024-07-14 21:40:50.526;0;2024-07-14 21:40:50.526;23.9;2024-07-14 21:40:50.526;0.652;2024-07-14 21:40:50.526;0.0
2024-07-14 21:41:53.969;624;2024-07-14 21:41:53.969;1777;2024-07-14 21:41:53.969;0;2024-07-14 21:41:53.969;24.0;2024-07-14 21:41:53.969;0.649;2024-07-14 21:41:53.969;0.0
2024-07-14 21:58:20.700;834;2024-07-14 21:58:20.700;2316;2024-07-14 21:58:20.700;0;2024-07-14 21:58:20.700;23.9;2024-07-14 21:58:20.700;0.640;2024-07-14 21:58:20.700;0.0
2024-07-14 21:59:20.342;694;2024-07-14 21:59:20.342;2162;2024-07-14 21:59:20.342;0;2024-07-14 21:59:20.342;23.9;2024-07-14 21:59:20.342;0.679;2024-07-14 21:59:20.342;0.0
2024-07-14 22:01:24.807;366;2024-07-14 22:01:24.807;1088;2024-07-14 22:01:24.807;0;2024-07-14 22:01:24.807;23.9;2024-07-14 22:01:24.807;0.664;2024-07-14 22:01:24.807;0.0
2024-07-14 22:02:32.685;773;2024-07-14 22:02:32.685;2325;2024-07-14 22:02:32.685;0;2024-07-14 22:02:32.685;23.9;2024-07-14 22:02:32.685;0.668;2024-07-14 22:02:32.685;0.0
2024-07-14 22:03:32.145;379;2024-07-14 22:03:32.145;1123;2024-07-14 22:03:32.145;0;2024-07-14 22:03:32.145;23.9;2024-07-14 22:03:32.145;0.663;2024-07-14 22:03:32.145;0.0
2024-07-14 22:09:54.467;773;2024-07-14 22:09:54.467;2115;2024-07-14 22:09:54.467;0;2024-07-14 22:09:54.467;23.8;2024-07-14 22:09:54.467;0.635;2024-07-14 22:09:54.467;0.0
2024-07-14 22:11:05.350;253;2024-07-14 22:11:05.350;675;2024-07-14 22:11:05.350;0;2024-07-14 22:11:05.350;23.8;2024-07-14 22:11:05.350;0.625;2024-07-14 22:11:05.350;0.0
2024-07-14 22:12:24.857;936;2024-07-14 22:12:24.857;2537;2024-07-14 22:12:24.857;0;2024-07-14 22:12:24.857;23.8;2024-07-14 22:12:24.857;0.631;2024-07-14 22:12:24.857;0.0
2024-07-14 22:13:17.181;386;2024-07-14 22:13:17.181;1101;2024-07-14 22:13:17.181;0;2024-07-14 22:13:17.181;23.8;2024-07-14 22:13:17.181;0.649;2024-07-14 22:13:17.181;0.0
2024-07-14 22:14:25.706;436;2024-07-14 22:14:25.706;1269;2024-07-14 22:14:25.706;0;2024-07-14 22:14:25.706;23.8;2024-07-14 22:14:25.706;0.656;2024-07-14 22:14:25.706;0.0
2024-07-14 22:15:21.548;447;2024-07-14 22:15:21.548;1224;2024-07-14 22:15:21.548;0;2024-07-14 22:15:21.548;23.8;2024-07-14 22:15:21.548;0.635;2024-07-14 22:15:21.548;0.0
2024-07-14 22:20:19.580;554;2024-07-14 22:20:19.580;1587;2024-07-14 22:20:19.580;0;2024-07-14 22:20:19.580;23.8;2024-07-14 22:20:19.580;0.651;2024-07-14 22:20:19.580;0.0
2024-07-14 22:21:10.428;677;2024-07-14 22:21:10.428;1951;2024-07-14 22:21:10.428;0;2024-07-14 22:21:10.428;23.8;2024-07-14 22:21:10.428;0.653;2024-07-14 22:21:10.428;0.0
2024-07-14 22:22:02.618;658;2024-07-14 22:22:02.618;1985;2024-07-14 22:22:02.618;0;2024-07-14 22:22:02.618;23.8;2024-07-14 22:22:02.618;0.669;2024-07-14 22:22:02.618;0.0
2024-07-14 22:23:01.768;730;2024-07-14 22:23:01.768;1920;2024-07-14 22:23:01.768;0;2024-07-14 22:23:01.768;23.8;2024-07-14 22:23:01.768;0.620;2024-07-14 22:23:01.768;0.0
2024-07-14 22:23:24.061;570;2024-07-14 22:23:24.061;1536;2024-07-14 22:23:24.061;0;2024-07-14 22:23:24.061;23.8;2024-07-14 22:23:24.061;0.629;2024-07-14 22:23:24.061;0.0
2024-07-14 22:24:17.057;759;2024-07-14 22:24:17.057;2133;2024-07-14 22:24:17.057;0;2024-07-14 22:24:17.057;23.8;2024-07-14 22:24:17.057;0.644;2024-07-14 22:24:17.057;0.0
