"","Date","Time...2","Time...3","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"42","24-07-13",05:52:42,05:52:42,"FO",44,0,158,508,0.689,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.",NA
"43","24-07-13",05:53:05,05:53:05,"FO",45,0,282,768,0.633,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.",NA
"44","24-07-13",05:53:31,05:53:31,"FO",46,0,234,717,0.674,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.",NA
"45","24-07-13",05:53:57,05:53:57,"FO",47,0,403,1149,0.649,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.",NA
"46","24-07-13",05:54:39,05:54:39,"FO",49,0,455,1225,0.629,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.",NA
"47","24-07-13",05:55:16,05:55:16,"FO",50,0,126,296,0.574,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.",NA
"48","24-07-13",05:55:43,05:55:43,"FO",51,0,264,730,0.638,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.",NA
"49","24-07-13",05:56:24,05:56:24,"FO",52,0,242,689,0.649,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.",NA
"50","24-07-13",05:56:53,05:56:53,"FO",53,0,419,1161,0.639,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.",NA
"51","24-07-13",05:58:03,05:58:03,"FO",54,0,345,1046,0.67,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.",NA
"52","24-07-13",05:58:28,05:58:28,"FO",55,0,354,952,0.628,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.",NA
"53","24-07-13",05:58:55,05:58:55,"FO",56,0,420,1172,0.642,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.",NA
"54","24-07-13",05:59:16,05:59:16,"FO",57,0,251,750,0.665,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.",NA
"55","24-07-13",05:59:38,05:59:38,"FO",58,0,181,470,0.615,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.",NA
"56","24-07-13",06:00:00,06:00:00,"FO",59,0,396,1058,0.626,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.",NA
"57","24-07-13",06:00:54,06:00:54,"FO",61,0,418,1227,0.659,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.",NA
"58","24-07-13",06:01:48,06:01:48,"FO",63,0,211,557,0.621,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.",NA
"59","24-07-13",06:02:11,06:02:11,"FO",64,0,133,375,0.645,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.",NA
"60","24-07-13",06:02:40,06:02:40,"FO",65,0,136,412,0.67,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.",NA
