"","Date","Time","Type","sample_id","colony","temp","koa_color","leachate","1:F","alpha","ETRm","Ik","days_of_exposure","treatment"
"1","24-08-14",08:02:44,"REG2","H10.2L",10,"hot","22/16/7","low","#1: alpha: 0.081, ETRm: 48.446, Ik: 600.557   (Jassby and Platt 1976)",0.081,48.446,600.557,1,"hot_low"
"2","24-08-14",08:12:41,"REG2","H7.2L",7,"hot","22/16/7","low","#1: alpha: 0.062, ETRm: 44.952, Ik: 727.436   (Jassby and Platt 1976)",0.062,44.952,727.436,1,"hot_low"
"3","24-08-14",08:17:05,"REG2","H1.2L",1,"hot","22/7","low","#1: alpha: 0.049, ETRm: 49.006, Ik: 991.022   (Jassby and Platt 1976)",0.049,49.006,991.022,1,"hot_low"
"4","24-08-14",08:21:55,"REG2","H4.2L",4,"hot","22","low","#1: alpha: 0.054, ETRm: 48.362, Ik: 889.868   (Jassby and Platt 1976)",0.054,48.362,889.868,1,"hot_low"
"5","24-08-14",08:27:51,"REG2","H6.2L",6,"hot","26","low","#1: alpha: 0.070, ETRm: 52.745, Ik: 751.613   (Jassby and Platt 1976)",0.07,52.745,751.613,1,"hot_low"
"6","24-08-14",08:36:51,"REG2","A8.2C",8,"ambient","22","control","#1: alpha: 0.060, ETRm: 55.629, Ik: 927.037   (Jassby and Platt 1976)",0.06,55.629,927.037,1,"ambient_control"
"7","24-08-14",08:41:09,"REG2","A4.2C",4,"ambient","22","control","#1: alpha: 0.052, ETRm: 45.682, Ik: 880.780   (Jassby and Platt 1976)",0.052,45.682,880.78,1,"ambient_control"
"8","24-08-14",08:44:47,"REG2","A6.2C",6,"ambient","22","control","#1: alpha: 0.042, ETRm: 40.154, Ik: 955.887   (Jassby and Platt 1976)",0.042,40.154,955.887,1,"ambient_control"
"9","24-08-14",08:48:24,"REG2","A3.2C",3,"ambient","22","control","#1: alpha: 0.049, ETRm: 81.605, Ik: 1676.620   (Jassby and Platt 1976)",0.049,81.605,1676.62,1,"ambient_control"
"10","24-08-14",08:51:51,"REG2","A5.2C",5,"ambient","22","control","#1: alpha: 0.051, ETRm: 46.909, Ik: 922.247   (Jassby and Platt 1976)",0.051,46.909,922.247,1,"ambient_control"
"11","24-08-14",09:00:10,"REG2","H4.2H",4,"hot","7","high","#1: alpha: 0.088, ETRm: 67.214, Ik: 763.724   (Jassby and Platt 1976)",0.088,67.214,763.724,1,"hot_high"
"12","24-08-14",09:03:59,"REG2","H8.2H",8,"hot","26","high","#1: alpha: 0.067, ETRm: 64.955, Ik: 965.037   (Jassby and Platt 1976)",0.067,64.955,965.037,1,"hot_high"
"13","24-08-14",09:08:55,"REG2","H7.2H",7,"hot","26","high","#1: alpha: 0.070, ETRm: 49.456, Ik: 706.493   (Jassby and Platt 1976)",0.07,49.456,706.493,1,"hot_high"
"14","24-08-14",09:14:50,"REG2","H10.2H",10,"hot","22","high","#1: alpha: 0.059, ETRm: 31.657, Ik: 535.001   (Jassby and Platt 1976)",0.059,31.657,535.001,1,"hot_high"
"15","24-08-14",09:19:14,"REG2","H1.2H",1,"hot","22","high","#1: alpha: 0.062, ETRm: 49.508, Ik: 796.368   (Jassby and Platt 1976)",0.062,49.508,796.368,1,"hot_high"
"16","24-08-14",09:26:16,"REG2","A3.2L",2,"ambient","22/26","low","#1: alpha: 0.065, ETRm: 44.744, Ik: 690.404   (Jassby and Platt 1976)",0.065,44.744,690.404,1,"ambient_low"
"17","24-08-14",09:29:57,"REG2","A9.2L",9,"ambient","22","low","#1: alpha: 0.056, ETRm: 36.150, Ik: 641.691   (Jassby and Platt 1976)",0.056,36.15,641.691,1,"ambient_low"
"18","24-08-14",09:33:58,"REG2","A10.2L",10,"ambient","22","low","#1: alpha: 0.083, ETRm: 64.581, Ik: 774.767   (Jassby and Platt 1976)",0.083,64.581,774.767,1,"ambient_low"
"19","24-08-14",09:37:54,"REG2","A6.2L",6,"ambient","26","low","#1: alpha: 0.073, ETRm: 57.723, Ik: 795.960   (Jassby and Platt 1976)",0.073,57.723,795.96,1,"ambient_low"
"20","24-08-14",09:41:54,"REG2","A4.2L",4,"ambient","26","low","#1: alpha: 0.058, ETRm: 59.575, Ik: 1031.003   (Jassby and Platt 1976)",0.058,59.575,1031.003,1,"ambient_low"
"21","24-08-14",09:48:58,"REG2","H2.2H",2,"hot","22","high","#1: alpha: 0.082, ETRm: 51.960, Ik: 633.116   (Jassby and Platt 1976)",0.082,51.96,633.116,1,"hot_high"
"22","24-08-14",09:53:02,"REG2","H9.2H",9,"hot","22","high","#1: alpha: 0.052, ETRm: 38.776, Ik: 751.066   (Jassby and Platt 1976)",0.052,38.776,751.066,1,"hot_high"
"23","24-08-14",09:56:40,"REG2","H5.2H",5,"hot","22","high","#1: alpha: 0.034, ETRm: 49.009, Ik: 1439.953   (Jassby and Platt 1976)",0.034,49.009,1439.953,1,"hot_high"
"24","24-08-14",10:00:50,"REG2","H3.2H",3,"hot","22","high","#1: alpha: 0.044, ETRm: 48.552, Ik: 1096.417   (Jassby and Platt 1976)",0.044,48.552,1096.417,1,"hot_high"
"25","24-08-14",10:04:26,"REG2","H6.2H",6,"hot","22","high","#1: alpha: 0.030, ETRm: 37.270, Ik: 1233.471   (Jassby and Platt 1976)",0.03,37.27,1233.471,1,"hot_high"
"26","24-08-14",10:12:04,"REG2","A5.2L",5,"ambient","26","low","#1: alpha: 0.068, ETRm: 49.170, Ik: 718.946   (Jassby and Platt 1976)",0.068,49.17,718.946,1,"ambient_low"
"27","24-08-14",10:16:04,"REG2","A8.2L",8,"ambient","22","low","#1: alpha: 0.046, ETRm: 32.942, Ik: 709.179   (Jassby and Platt 1976)",0.046,32.942,709.179,1,"ambient_low"
"28","24-08-14",10:20:13,"REG2","A2.2L",2,"ambient","22","low","#1: alpha: 0.042, ETRm: 54.893, Ik: 1299.081   (Jassby and Platt 1976)",0.042,54.893,1299.081,1,"ambient_low"
"29","24-08-14",10:24:27,"REG2","A7.2L",7,"ambient","22","low","#1: alpha: 0.056, ETRm: 69.085, Ik: 1232.560   (Jassby and Platt 1976)",0.056,69.085,1232.56,1,"ambient_low"
"30","24-08-14",10:28:29,"REG2","A1.2L",1,"ambient","22","low","#1: alpha: 0.045, ETRm: 49.200, Ik: 1095.512   (Jassby and Platt 1976)",0.045,49.2,1095.512,1,"ambient_low"
"31","24-08-14",10:36:25,"REG2","H4.2C",4,"hot","22/26","control","#1: alpha: 0.050, ETRm: 50.614, Ik: 1006.816   (Jassby and Platt 1976)",0.05,50.614,1006.816,1,"hot_control"
"32","24-08-14",10:40:13,"REG2","H9.2C",9,"hot","22/26","control","#1: alpha: 0.038, ETRm: 30.352, Ik: 803.900   (Jassby and Platt 1976)",0.038,30.352,803.9,1,"hot_control"
"33","24-08-14",10:43:33,"REG2","H5.2C",5,"hot","22/26","control","#1: alpha: 0.042, ETRm: 54.822, Ik: 1293.375   (Jassby and Platt 1976)",0.042,54.822,1293.375,1,"hot_control"
"34","24-08-14",10:48:00,"REG2","H7.2C",7,"hot","26","control","#1: alpha: 0.050, ETRm: 36.841, Ik: 732.623   (Jassby and Platt 1976)",0.05,36.841,732.623,1,"hot_control"
"35","24-08-14",10:52:12,"REG2","H6.2C",6,"hot","26","control","#1: alpha: 0.050, ETRm: 51.849, Ik: 1028.974   (Jassby and Platt 1976)",0.05,51.849,1028.974,1,"hot_control"
"36","24-08-14",11:00:37,"REG2","A1.2H",1,"ambient","22/26","high","#1: alpha: 0.057, ETRm: 36.090, Ik: 635.371   (Jassby and Platt 1976)",0.057,36.09,635.371,1,"ambient_high"
"37","24-08-14",11:04:20,"REG2","A2.2H",2,"ambient","26","high","#1: alpha: 0.065, ETRm: 38.895, Ik: 597.448   (Jassby and Platt 1976)",0.065,38.895,597.448,1,"ambient_high"
