"","Date","Time","Type","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"1","24-08-16",20:13:53,"FO",667,1947,0.657,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.",NA
"2","24-08-16",20:14:19,"FO",765,2124,0.64,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.",NA
"3","24-08-16",20:14:46,"FO",417,1235,0.662,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.",NA
"4","24-08-16",20:15:05,"FO",483,1261,0.617,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.",NA
"5","24-08-16",20:15:37,"FO",588,1549,0.62,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.",NA
"6","24-08-16",20:16:23,"FO",329,979,0.664,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.",NA
"7","24-08-16",20:16:44,"FO",141,473,0.702,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.",NA
"8","24-08-16",20:17:07,"FO",204,502,0.594,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.",NA
"9","24-08-16",20:17:25,"FO",528,1506,0.649,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.",NA
"10","24-08-16",20:17:45,"FO",297,804,0.631,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.",NA
"11","24-08-16",20:18:42,"FO",1070,2981,0.641,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.",NA
"12","24-08-16",20:19:03,"FO",633,1832,0.654,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.",NA
"13","24-08-16",20:19:23,"FO",467,1381,0.662,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.",NA
"14","24-08-16",20:19:48,"FO",909,2714,0.665,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.",NA
"15","24-08-16",20:21:12,"FO",228,713,0.68,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.",NA
"16","24-08-16",20:22:21,"FO",251,656,0.617,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.",NA
"17","24-08-16",20:22:48,"FO",210,626,0.665,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.",NA
"18","24-08-16",20:23:10,"FO",533,1551,0.656,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.",NA
"19","24-08-16",20:23:31,"FO",367,1100,0.666,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.",NA
"20","24-08-16",20:24:01,"FO",276,883,0.687,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.",NA
"21","24-08-16",20:25:11,"FO",370,1091,0.661,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.",NA
"22","24-08-16",20:25:30,"FO",258,768,0.664,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.",NA
"23","24-08-16",20:25:49,"FO",854,2229,0.617,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.",NA
"24","24-08-16",20:26:08,"FO",404,1112,0.637,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.",NA
"25","24-08-16",20:26:42,"FO",636,1790,0.645,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.",NA
"26","24-08-16",20:28:00,"FO",471,1377,0.658,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.",NA
"27","24-08-16",20:28:35,"FO",291,973,0.701,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.",NA
"28","24-08-16",20:29:08,"FO",463,1300,0.644,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.",NA
"29","24-08-16",20:29:44,"FO",310,905,0.657,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.",NA
"30","24-08-16",20:30:11,"FO",515,1479,0.652,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.",NA
"31","24-08-16",20:33:02,"FO",633,1703,0.628,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.",NA
"32","24-08-16",20:33:25,"FO",418,1188,0.648,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.",NA
"33","24-08-16",20:33:55,"FO",401,1121,0.642,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.",NA
"34","24-08-16",20:34:19,"FO",149,432,0.655,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.",NA
"35","24-08-16",20:34:40,"FO",386,994,0.612,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.",NA
"36","24-08-16",20:35:11,"FO",853,2330,0.634,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.",NA
"37","24-08-16",20:35:31,"FO",676,1886,0.642,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.",NA
"38","24-08-16",20:35:48,"FO",254,762,0.667,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.",NA
"39","24-08-16",20:36:08,"FO",395,1635,0.758,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.",NA
"40","24-08-16",20:36:33,"FO",687,2043,0.664,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.",NA
"41","24-08-16",20:38:21,"FO",226,688,0.672,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.",NA
"42","24-08-16",20:38:40,"FO",475,1480,0.679,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.",NA
"43","24-08-16",20:38:59,"FO",369,1123,0.671,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.",NA
"44","24-08-16",20:39:15,"FO",267,834,0.68,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.",NA
"45","24-08-16",20:39:31,"FO",882,2417,0.635,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.",NA
"46","24-08-16",20:41:17,"FO",1111,2932,0.621,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.",NA
"47","24-08-16",20:41:41,"FO",724,1976,0.634,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.",NA
"48","24-08-16",20:42:00,"FO",475,1370,0.653,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.",NA
"49","24-08-16",20:42:19,"FO",753,2087,0.639,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.",NA
"50","24-08-16",20:42:44,"FO",449,1278,0.649,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.",NA
"51","24-08-16",20:43:30,"FO",397,1164,0.659,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.",NA
"52","24-08-16",20:43:52,"FO",947,2500,0.621,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.",NA
"53","24-08-16",20:44:14,"FO",155,486,0.681,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.",NA
"54","24-08-16",20:44:46,"FO",584,1501,0.611,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.",NA
"55","24-08-16",20:45:07,"FO",558,1732,0.678,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.",NA
"56","24-08-16",20:45:56,"FO",446,1161,0.616,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.",NA
"57","24-08-16",20:46:13,"FO",389,1215,0.68,"H7.2","hot",7,"control","Montipora capitata x Symbiodinium spp.",NA
"58","24-08-16",20:46:34,"FO",483,1443,0.665,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.",NA
"59","24-08-16",20:46:58,"FO",360,1092,0.67,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.",NA
"60","24-08-16",20:47:18,"FO",245,755,0.675,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.",NA
