"","Fo","Fm","FvFm","sample_id","temp","colony","leachate","species","days_of_exposure","treatment"
"254",74,248,0.702,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"255",103,320,0.678,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"256",91,269,0.662,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"257",79,267,0.704,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"258",273,767,0.644,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"259",120,360,0.667,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"260",106,254,0.583,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"261",78,241,0.676,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"262",189,560,0.663,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"263",275,763,0.64,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"264",186,537,0.654,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"265",174,531,0.672,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"266",72,213,0.662,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"267",136,430,0.684,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"268",101,316,0.68,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"269",108,331,0.674,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"270",101,324,0.688,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"271",108,291,0.629,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"272",142,369,0.615,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"273",103,289,0.644,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"274",100,245,0.592,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"275",201,539,0.627,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.","4","ambient_control"
"276",123,358,0.656,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"277",106,331,0.68,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"278",242,755,0.679,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"279",113,352,0.679,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"280",144,431,0.666,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.","4","ambient_high"
"281",96,306,0.686,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"282",133,414,0.679,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"283",110,337,0.674,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"284",110,311,0.646,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"285",83,241,0.656,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.","4","ambient_low"
"286",94,297,0.684,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"287",68,205,0.668,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"288",107,339,0.684,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"289",106,296,0.642,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"290",233,696,0.665,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.","4","hot_low"
"291",24,87,0.724,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"292",227,663,0.658,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"293",437,1213,0.64,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"294",248,741,0.665,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"295",283,817,0.654,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.","4","hot_high"
"296",229,692,0.669,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"297",189,538,0.649,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"298",174,553,0.685,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"299",77,222,0.653,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
"300",112,343,0.673,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.","4","hot_control"
