"","Fo","Fm","FvFm","sample_id","temp","colony","leachate","species","days_of_exposure","treatment"
"59",133,375,0.645,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"60",136,412,0.67,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.","0","hot_control"
"61",422,1269,0.667,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"62",372,1050,0.646,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"63",337,1064,0.683,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"64",394,1142,0.655,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"65",887,2612,0.66,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"66",729,2097,0.652,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"67",569,1747,0.674,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"68",892,2887,0.691,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"69",346,1018,0.66,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"70",729,2248,0.676,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"71",347,1032,0.664,"H4.2C","hot",4,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"72",643,1928,0.666,"H7.2C","hot",7,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"73",537,1512,0.645,"H9.2C","hot",9,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"74",598,1827,0.673,"H5.2C","hot",5,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"75",695,2049,0.661,"H6.2C","hot",6,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"76",485,1443,0.664,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"77",919,2683,0.657,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"78",787,2324,0.661,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"79",683,2087,0.673,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"80",718,2084,0.655,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"81",194,586,0.669,"A4.2H","ambient",4,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"82",498,1538,0.676,"A5.2H","ambient",5,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"83",765,2262,0.662,"A2.2H","ambient",2,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"84",245,727,0.663,"A8.2H","ambient",8,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"85",600,1639,0.634,"A1.2H","ambient",1,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"86",515,1514,0.66,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"87",498,1544,0.677,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"88",498,1492,0.666,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"89",557,1632,0.659,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"90",365,1119,0.674,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"91",471,1461,0.678,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"92",356,1075,0.669,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"93",671,2065,0.675,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"94",375,1072,0.65,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"95",323,936,0.655,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.","1","ambient_control"
"96",565,1668,0.661,"H10.2H","hot",10,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"97",616,1977,0.688,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"98",351,1038,0.662,"H8.2H","hot",8,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"99",504,1576,0.68,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"100",779,2322,0.665,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.","1","hot_high"
"101",595,1789,0.667,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"102",865,2492,0.653,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"103",1026,2856,0.641,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"104",718,2065,0.652,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"105",624,1777,0.649,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.","1","ambient_high"
"106",834,2316,0.64,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"107",694,2162,0.679,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"108",366,1088,0.664,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"109",773,2325,0.668,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"110",379,1123,0.663,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.","1","hot_control"
"111",773,2115,0.635,"A10.2L","ambient",10,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"112",253,675,0.625,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"113",936,2537,0.631,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"114",436,1269,0.656,"A6.2L","ambient",6,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"115",447,1224,0.635,"A4.2L","ambient",4,"low","Montipora capitata x Symbiodinium spp.","1","ambient_low"
"116",554,1587,0.651,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"117",677,1951,0.653,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"118",658,1985,0.669,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"119",570,1536,0.629,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"120",759,2133,0.644,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.","1","hot_low"
"121",304,915,0.668,"H1.2C","hot",1,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"122",828,2182,0.621,"H10.2C","hot",10,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"123",520,1630,0.681,"H2.2C","hot",2,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"124",858,2441,0.649,"H3.2C","hot",3,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"125",847,2276,0.628,"H8.2C","hot",8,"control","Montipora capitata x Symbiodinium spp.","2","hot_control"
"126",336,1029,0.673,"H5.2H","hot",5,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"127",563,1664,0.662,"H6.2H","hot",6,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"128",641,1816,0.647,"H2.2H","hot",2,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"129",761,1974,0.614,"H9.2H","hot",9,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"130",803,2269,0.646,"H3.2H","hot",3,"high","Montipora capitata x Symbiodinium spp.","2","hot_high"
"131",591,1804,0.672,"H4.2L","hot",4,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"132",573,1577,0.637,"H6.2L","hot",6,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"133",497,1416,0.649,"H10.2L","hot",10,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"134",417,1253,0.667,"H1.2L","hot",1,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"135",183,491,0.627,"H7.2L","hot",7,"low","Montipora capitata x Symbiodinium spp.","2","hot_low"
"136",822,2354,0.651,"A9.2C","ambient",9,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"137",490,1468,0.666,"A10.2C","ambient",10,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"138",747,2128,0.649,"A2.2C","ambient",2,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"139",461,1369,0.663,"A7.2C","ambient",7,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"140",750,2238,0.665,"A1.2C","ambient",1,"control","Montipora capitata x Symbiodinium spp.","2","ambient_control"
"141",879,2352,0.626,"A3.2L","ambient",3,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
"142",850,2203,0.614,"A9.2L","ambient",9,"low","Montipora capitata x Symbiodinium spp.","2","ambient_low"
