"","Date","Time","Type","No.","1:PAR","1:Fo","1:Fm","1:Fv/Fm","sample_id","temp","colony","leachate","species","note"
"38","24-07-15",20:39:36,"FO",38,0,359,1004,0.642,"H4.2H","hot",4,"high","Montipora capitata x Symbiodinium spp.",NA
"39","24-07-15",20:39:58,"FO",39,0,440,2084,0.789,"H1.2H","hot",1,"high","Montipora capitata x Symbiodinium spp.",NA
"40","24-07-15",20:40:21,"FO",40,0,368,1013,0.637,"H7.2H","hot",7,"high","Montipora capitata x Symbiodinium spp.",NA
"41","24-07-15",20:41:28,"FO",41,0,269,790,0.659,"H9.2L","hot",9,"low","Montipora capitata x Symbiodinium spp.",NA
"42","24-07-15",20:41:49,"FO",42,0,608,1648,0.631,"H2.2L","hot",2,"low","Montipora capitata x Symbiodinium spp.",NA
"43","24-07-15",20:42:16,"FO",43,0,477,1390,0.657,"H5.2L","hot",5,"low","Montipora capitata x Symbiodinium spp.",NA
"44","24-07-15",20:42:38,"FO",44,0,623,1753,0.645,"H3.2L","hot",3,"low","Montipora capitata x Symbiodinium spp.",NA
"45","24-07-15",20:43:13,"FO",45,0,411,1210,0.66,"H8.2L","hot",8,"low","Montipora capitata x Symbiodinium spp.","new glue"
"46","24-07-15",20:44:27,"FO",46,0,327,875,0.626,"A5.2L","ambient",5,"low","Montipora capitata x Symbiodinium spp.",NA
"47","24-07-15",20:44:47,"FO",47,0,265,759,0.651,"A7.2L","ambient",7,"low","Montipora capitata x Symbiodinium spp.",NA
"48","24-07-15",20:45:17,"FO",48,0,504,1399,0.64,"A2.2L","ambient",2,"low","Montipora capitata x Symbiodinium spp.",NA
"49","24-07-15",20:45:36,"FO",49,0,353,1006,0.649,"A1.2L","ambient",1,"low","Montipora capitata x Symbiodinium spp.",NA
"50","24-07-15",20:45:54,"FO",50,0,650,1845,0.648,"A8.2L","ambient",8,"low","Montipora capitata x Symbiodinium spp.",NA
"51","24-07-15",20:46:56,"FO",51,0,541,1433,0.622,"A6.2H","ambient",6,"high","Montipora capitata x Symbiodinium spp.",NA
"52","24-07-15",20:47:33,"FO",52,0,706,1566,0.549,"A3.2H","ambient",3,"high","Montipora capitata x Symbiodinium spp.",NA
"53","24-07-15",20:48:26,"FO",53,0,258,734,0.649,"A9.2H","ambient",9,"high","Montipora capitata x Symbiodinium spp.",NA
"54","24-07-15",20:48:46,"FO",54,0,232,695,0.666,"A7.2H","ambient",7,"high","Montipora capitata x Symbiodinium spp.",NA
"55","24-07-15",20:49:07,"FO",55,0,1017,2883,0.647,"A10.2H","ambient",10,"high","Montipora capitata x Symbiodinium spp.",NA
"56","24-07-15",20:49:38,"FO",56,0,326,957,0.659,"A5.2C","ambient",5,"control","Montipora capitata x Symbiodinium spp.",NA
"57","24-07-15",20:49:58,"FO",57,0,68,279,0.756,"A8.2C","ambient",8,"control","Montipora capitata x Symbiodinium spp.",NA
"58","24-07-15",20:50:21,"FO",58,0,367,939,0.609,"A6.2C","ambient",6,"control","Montipora capitata x Symbiodinium spp.",NA
"59","24-07-15",20:50:53,"FO",59,0,678,1814,0.626,"A4.2C","ambient",4,"control","Montipora capitata x Symbiodinium spp.",NA
"60","24-07-15",20:51:23,"FO",60,0,410,1149,0.643,"A3.2C","ambient",3,"control","Montipora capitata x Symbiodinium spp.",NA
