date,No. ,sample_id,temp,colony,leachate,koa_color,notes,species
7/15/2024,1,H3.2C,hot,3,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,14,H2.2C,hot,2,control,22,bleached tips,Montipora capitata x Symbiodinium spp.
7/15/2024,27,H1.2C,hot,1,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,40,H10.2C,hot,10,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,53,H8.2C,hot,8,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,66,A6.2H,ambient,6,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,79,A9.2H,ambient,9,high,26,bleached tips,Montipora capitata x Symbiodinium spp.
7/15/2024,92,A10.2H,ambient,10,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,105,A3.2H,ambient,3,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,118,A7.2H,ambient,7,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,131,H5.2L,hot,5,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,144,H2.2L,hot,2,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,157,H3.2L,hot,3,low,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,170,H9.2L,hot,9,low,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,183,H8.2L,hot,8,low,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,196,A2.2C,ambient,2,control,22,bleached tips,Montipora capitata x Symbiodinium spp.
7/15/2024,209,A9.2C,ambient,9,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,222,A10.2C,ambient,10,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,235,A7.2C,ambient,7,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,248,A1.2C,ambient,1,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,261,H6.2L,hot,6,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,274,H4.2L,hot,4,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,287,H10.2L,hot,10,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,300,H7.2L,hot,7,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,313,H1.2L,hot,1,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,326,A6.2C,ambient,6,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,339,A4.2C,ambient,4,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,352,A8.2C,ambient,8,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,365,A5.2C,ambient,5,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,378,A3.2C,ambient,3,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,391,H7.2H,hot,7,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,404,H8.2H,hot,8,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,417,H10.2H,hot,10,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,430,H1.2H,hot,1,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,443,H4.2H,hot,4,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,456,A9.2L,ambient,9,low,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,469,A6.2L,ambient,6,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,482,A10.2L,ambient,10,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,495,A4.2L,ambient,4,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,508,A3.2L,ambient,3,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,521,H6.2H,hot,6,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,534,H2.2H,hot,2,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,547,H5.2H,hot,5,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,560,H3.2H,hot,3,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,573,H9.2H,hot,9,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,586,A8.2L,ambient,8,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,599,A1.2L,ambient,1,low,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,612,A2.2L,ambient,2,low,22,bleached tips,Montipora capitata x Symbiodinium spp.
7/15/2024,625,A7.2L,ambient,7,low,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,638,A5.2L,ambient,5,low,26/22,,Montipora capitata x Symbiodinium spp.
7/15/2024,651,H9.2C,hot,9,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,664,H6.2C,hot,6,control,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,677,H5.2C,hot,5,control,26,bleached tips,Montipora capitata x Symbiodinium spp.
7/15/2024,690,H7.2C,hot,7,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,703,H4.2C,hot,4,control,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,716,A5.2H,ambient,5,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,729,A4.2H,ambient,4,high,26,,Montipora capitata x Symbiodinium spp.
7/15/2024,742,A8.2H,ambient,8,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,755,A2.2H,ambient,2,high,22,,Montipora capitata x Symbiodinium spp.
7/15/2024,768,A1.2H,ambient,1,high,22,,Montipora capitata x Symbiodinium spp.
