date,No.,sample_id,temp,colony,leachate,koa_color,notes,species
7/17/2024,1,H10.2C,hot,10,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,14,H3.2C,hot,3,control,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,27,H1.2C,hot,1,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,40,H8.2C,hot,8,control,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,53,H2.2C,hot,2,control,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,66,A2.2L,ambient,2,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,79,A7.2L,ambient,7,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,92,A8.2L,ambient,8,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,105,A1.2L,ambient,1,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,118,A5.2L,ambient,5,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,131,H4.2H,hot,4,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,144,H10.2H,hot,10,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,157,H1.2H,hot,1,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,170,H7.2H,hot,7,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,183,H8.2H,hot,8,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,196,A1.2C,ambient,1,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,209,A7.2C,ambient,7,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,222,A10.2C,ambient,10,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,235,A9.2C,ambient,9,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,248,A2.2C,ambient,2,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,261,H1.2L,hot,1,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,274,H4.2L,hot,4,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,287,H6.2L,hot,6,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,300,H10.2L,hot,10,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,313,H7.2L,hot,7,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,326,A3.2H,ambient,3,high,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,339,A9.2H,ambient,9,high,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,352,A7.2H,ambient,7,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,365,A10.2H,ambient,10,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,378,A6.2H,ambient,6,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,391,H9.2C,hot,9,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,404,H4.2C,hot,4,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,417,H7.2C,hot,7,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,430,H6.2C,hot,6,control,26,,Montipora capitata x Symbiodinium spp. 
7/17/2024,457,H5.2C,hot,5,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,470,A4.2L,ambient,4,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,483,A10.2L,ambient,10,low,24,,Montipora capitata x Symbiodinium spp. 
7/17/2024,496,A9.2L,ambient,9,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,509,A3.2L,ambient,3,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,522,A6.2L,ambient,6,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,548,H2.2H,hot,2,high,22,new glue,Montipora capitata x Symbiodinium spp. 
7/17/2024,561,H5.2H,hot,5,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,574,H3.2H,hot,3,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,587,H9.2H,hot,9,high,22,bleached tips,Montipora capitata x Symbiodinium spp. 
7/17/2024,600,H6.2H,hot,6,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,613,A3.2C,ambient,3,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,626,A6.2C,ambient,6,control,24,,Montipora capitata x Symbiodinium spp. 
7/17/2024,652,A4.2C,ambient,4,control,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,665,A5.2C,ambient,5,control,24,,Montipora capitata x Symbiodinium spp. 
7/17/2024,678,A8.2C,ambient,8,control,24,,Montipora capitata x Symbiodinium spp. 
7/17/2024,691,H5.2L,hot,5,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,704,H8.2L,hot,8,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,717,H2.2L,hot,2,low,24,,Montipora capitata x Symbiodinium spp. 
7/17/2024,730,H3.2L,hot,3,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,743,H9.2L,hot,9,low,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,768,A8.2H,ambient,8,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,781,A1.2H,ambient,1,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,794,A2.2H,ambient,2,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,807,A5.2H,ambient,5,high,22,,Montipora capitata x Symbiodinium spp. 
7/17/2024,820,A4.2H,ambient,4,high,22,,Montipora capitata x Symbiodinium spp. 
